dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,nconstr
adult,FACETIndex,100,,8,0.846102819,0.725864739,0.620202911,0.668886775,1,0.097427156,0.142636038,2.35,90.13791823,4.832786322,0.241639316,20,0
adult,FACETIndex,100,,7,0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,90.28602099,7.886392832,0.394319642,20,0
adult,FACETIndex,100,,5,0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.77315855,8.242551088,0.412127554,20,0
adult,FACETIndex,100,,2,0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,90.24733138,8.494784594,0.42473923,20,0
adult,FACETIndex,100,,0,0.844665561,0.705549846,0.622675737,0.661527343,1,0.152483386,0.219664661,2.7,91.01858211,8.839528084,0.441976404,20,0
adult,FACETIndex,100,,4,0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,93.62333822,9.703060865,0.485153043,20,0
adult,FACETIndex,100,,3,0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,90.9764936,9.712783813,0.485639191,20,0
adult,FACETIndex,100,,1,0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,90.13873386,11.64506292,0.582253146,20,0
adult,FACETIndex,100,,6,0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,93.2772758,11.6637466,0.58318733,20,0
adult,FACETIndex,100,,9,0.848977336,0.720734908,0.622111464,0.667801556,1,0.157375037,0.224356763,2.7,89.36170506,15.13371611,0.756685805,20,0
adult,FACETIndex,100,,5,0.844444444,0.695847924,0.635159817,0.664120315,1,2.012960839,4.927952119,8.15,92.77315855,0.125235081,0.006261754,20,2
adult,FACETIndex,100,,1,0.845218353,0.72036942,0.621513944,0.66730038,1,2.029656985,5.032492758,8,90.13873386,0.14272356,0.007136178,20,2
adult,FACETIndex,100,,7,0.841901603,0.716174975,0.61754386,0.663212435,1,1.461501667,2.989727628,6.55,90.28602099,0.266887665,0.013344383,20,2
adult,FACETIndex,100,,2,0.83946932,0.704379562,0.604203936,0.65045739,1,1.446255141,3.390494413,6.35,90.24733138,0.595979691,0.029798985,20,2
adult,FACETIndex,100,,8,0.846102819,0.725864739,0.620202911,0.668886775,1,1.216926316,2.627558055,6.1,90.13791823,0.64432478,0.032216239,20,2
