dataset,explainer,n_trees,max_depth,n_rects,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
adult,FACETIndex,100,,100,0,0.844665561,0.705549846,0.622675737,0.661527343,1,1.398744679,2.74312931,6,24.01583195,0.109736443,0.005486822,20
adult,FACETIndex,100,,100,1,0.845218353,0.72036942,0.621513944,0.66730038,1,1.326783457,2.537768597,5.4,23.90622234,0.120210886,0.006010544,20
adult,FACETIndex,100,,100,2,0.83946932,0.704379562,0.604203936,0.65045739,1,1.29342035,2.442580372,5.5,23.82168794,0.121850729,0.006092536,20
adult,FACETIndex,100,,100,3,0.849087894,0.722166998,0.643204958,0.680402716,1,1.454536108,2.665166792,5.6,24.15636802,0.099014521,0.004950726,20
adult,FACETIndex,100,,100,4,0.84013267,0.700553598,0.620597414,0.658156028,1,1.190059622,2.231696948,5.15,24.18208861,0.11178565,0.005589283,20
adult,FACETIndex,100,,100,5,0.844444444,0.695847924,0.635159817,0.664120315,1,1.253288162,2.403270561,5.45,24.35858369,0.108753681,0.005437684,20
adult,FACETIndex,100,,100,6,0.845771144,0.715562566,0.614446953,0.66116104,1,1.258131049,2.362230383,5.55,24.35161567,0.13808322,0.006904161,20
adult,FACETIndex,100,,100,7,0.841901603,0.716174975,0.61754386,0.663212435,1,1.416230832,2.781495038,6.05,24.0395174,0.125934362,0.006296718,20
adult,FACETIndex,100,,100,8,0.846102819,0.725864739,0.620202911,0.668886775,1,1.444246835,2.653938289,5.8,24.22922969,0.121007204,0.00605036,20
adult,FACETIndex,100,,100,9,0.848977336,0.720734908,0.622111464,0.667801556,1,1.262283467,2.310959474,5.3,24.31420922,0.124414921,0.006220746,20
adult,FACETIndex,100,,1000,0,0.844665561,0.705549846,0.622675737,0.661527343,1,0.689873363,1.173140932,4.3,25.23753858,0.636315107,0.031815755,20
adult,FACETIndex,100,,1000,1,0.845218353,0.72036942,0.621513944,0.66730038,1,0.545403626,0.943516217,3.9,25.0468142,0.575754404,0.02878772,20
adult,FACETIndex,100,,1000,2,0.83946932,0.704379562,0.604203936,0.65045739,1,0.536587494,0.879046554,3.85,25.00845814,0.60986948,0.030493474,20
adult,FACETIndex,100,,1000,3,0.849087894,0.722166998,0.643204958,0.680402716,1,0.42877383,0.735891256,3.45,25.54920888,0.424390793,0.02121954,20
adult,FACETIndex,100,,1000,4,0.84013267,0.700553598,0.620597414,0.658156028,1,0.653290293,1.082625671,3.7,25.27382326,0.810425997,0.0405213,20
adult,FACETIndex,100,,1000,5,0.844444444,0.695847924,0.635159817,0.664120315,1,0.773707029,1.202375773,4.3,25.30900669,0.708906174,0.035445309,20
adult,FACETIndex,100,,1000,6,0.845771144,0.715562566,0.614446953,0.66116104,1,0.631428569,1.052441004,4.05,25.04213428,0.663966179,0.033198309,20
adult,FACETIndex,100,,1000,7,0.841901603,0.716174975,0.61754386,0.663212435,1,0.742095924,1.202766346,4.2,24.98447633,0.753350973,0.037667549,20
adult,FACETIndex,100,,1000,8,0.846102819,0.725864739,0.620202911,0.668886775,1,0.5402515,0.853728819,3.75,25.33615732,0.60823369,0.030411685,20
adult,FACETIndex,100,,1000,9,0.848977336,0.720734908,0.622111464,0.667801556,1,0.824504513,1.240024051,4.2,25.2305634,0.911961079,0.045598054,20
adult,FACETIndex,100,,5000,0,0.844665561,0.705549846,0.622675737,0.661527343,1,0.438524334,0.679427609,3.3,30.08612418,2.074146748,0.103707337,20
adult,FACETIndex,100,,5000,1,0.845218353,0.72036942,0.621513944,0.66730038,1,0.323061298,0.552783108,3.25,29.94260859,1.499493837,0.074974692,20
