dataset,explainer,n_trees,max_depth,n_rects,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,100,,100,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.436970087,,15.8,0.139567137,0.024937153,0.001246858,20
glass,FACETIndex,100,,100,0,0.848484848,0.85,0.894736842,0.871794872,1,0.254131542,,5.85,0.141958475,0.028795958,0.001439798,20
magic,FACETIndex,100,,100,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.317976467,,9.2,4.717980385,0.027764797,0.00138824,20
spambase,FACETIndex,100,,100,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.185882049,,22.1,1.053145647,0.031350613,0.001567531,20
vertebral,FACETIndex,100,,100,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.169263828,,4.75,0.162256718,0.024836779,0.001241839,20
cancer,FACETIndex,100,,1000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.387210224,,14.9,0.877802372,0.187586784,0.009379339,20
glass,FACETIndex,100,,1000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.20726927,,5.4,0.87773037,0.194627285,0.009731364,20
magic,FACETIndex,100,,1000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.226524049,,9.15,5.613144636,0.222591162,0.011129558,20
spambase,FACETIndex,100,,1000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.132754399,,20.45,1.810215473,0.253333807,0.01266669,20
vertebral,FACETIndex,100,,1000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.098944405,,4.5,0.888711214,0.180721283,0.009036064,20
cancer,FACETIndex,100,,5000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.354243815,,14.25,4.105257034,0.906401634,0.045320082,20
glass,FACETIndex,100,,5000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.201672104,,5.2,4.157226086,0.78921175,0.039460588,20
magic,FACETIndex,100,,5000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.19059332,,8.85,9.154010296,1.075356722,0.053767836,20
spambase,FACETIndex,100,,5000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.106330672,,19.35,5.1537745,1.235498667,0.061774933,20
vertebral,FACETIndex,100,,5000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.086084594,,3.8,4.143027067,0.822237968,0.041111898,20
cancer,FACETIndex,100,,10000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.34056085,,14.4,8.144401789,1.760070324,0.088003516,20
