dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,10,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.156365211,4.55,4.476918936,0.242416859,0.012120843,20
cancer,FACETIndex,10,0,5,0.938596491,0.95,0.88372093,0.915662651,1,0.144570508,3.85,5.026995182,0.283665657,0.014183283,20
cancer,FACETIndex,50,5,5,0.964912281,0.953488372,0.953488372,0.953488372,1,0.281087736,8.65,16.34379673,1.655127525,0.082756376,20
cancer,FACETIndex,50,0,5,0.956140351,0.975,0.906976744,0.939759036,1,0.291493771,10.15,16.68075347,1.965050697,0.098252535,20
cancer,FACETIndex,100,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.351766442,12,24.77239299,2.401294708,0.120064735,20
cancer,FACETIndex,100,0,5,0.947368421,0.951219512,0.906976744,0.928571429,1,0.327947715,12.45,24.78427291,2.42036128,0.121018064,20
cancer,FACETIndex,200,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.410370642,15.55,40.4370203,3.040520668,0.152026033,20
cancer,FACETIndex,200,0,5,0.964912281,1,0.906976744,0.951219512,1,0.372987896,15.75,40.79458547,3.046447039,0.152322352,20
cancer,FACETIndex,300,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.437381356,17.25,56.15086794,3.473597527,0.173679876,20
cancer,FACETIndex,300,0,5,0.964912281,1,0.906976744,0.951219512,1,0.408180345,18.65,56.08302259,3.479486704,0.173974335,20
glass,FACETIndex,10,0,5,0.787878788,0.8,0.842105263,0.820512821,1,0.128255149,3.2,2.553875685,0.030693293,0.001534665,20
glass,FACETIndex,50,0,5,0.848484848,0.85,0.894736842,0.871794872,1,0.175499441,4.25,9.709525108,0.26520443,0.013260221,20
glass,FACETIndex,10,0,5,0.787878788,0.8,0.842105263,0.820512821,1,0.128255149,3.2,2.547078371,0.029912233,0.001495612,20
glass,FACETIndex,100,0,5,0.878787879,0.894736842,0.894736842,0.894736842,1,0.190821179,5.7,18.37165689,0.540357351,0.027017868,20
glass,FACETIndex,50,0,5,0.848484848,0.85,0.894736842,0.871794872,1,0.175499441,4.25,9.627218008,0.265730858,0.013286543,20
glass,FACETIndex,100,0,5,0.878787879,0.894736842,0.894736842,0.894736842,1,0.190821179,5.7,18.23188949,0.528399706,0.026419985,20
glass,FACETIndex,200,0,5,0.878787879,0.894736842,0.894736842,0.894736842,1,0.222812897,6.25,34.79629564,0.853462219,0.042673111,20
cancer,FACETIndex,400,5,5,0.947368421,0.930232558,0.930232558,0.930232558,1,0.451470575,18,72.04884958,3.463203192,0.17316016,20
cancer,FACETIndex,400,0,5,0.964912281,1,0.906976744,0.951219512,1,0.42719333,19.15,72.24280524,3.506946087,0.175347304,20
