dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
adult,FACETIndex,10,0,,0.84344942,0.701996928,0.621768707,0.659451659,1,0.085762788,0.113025174,2,23.91935253,4.905648232,0.245282412,20
adult,FACETIndex,10,1,,0.838363737,0.708529566,0.599380257,0.64940048,1,0.068584747,0.083046656,1.6,23.15923643,3.25600934,0.162800467,20
adult,FACETIndex,10,2,,0.835489221,0.700643777,0.584078712,0.637073171,1,0.109607653,0.12604158,1.5,24.21442485,5.284504414,0.264225221,20
adult,FACETIndex,10,3,,0.843781095,0.715376782,0.621956618,0.665403741,1,0.074318576,0.091845022,1.75,24.24533129,4.731657982,0.236582899,20
adult,FACETIndex,10,4,,0.834604754,0.692030848,0.600089166,0.642788921,1,0.063188549,0.073922869,1.65,22.60775161,3.005512714,0.150275636,20
adult,FACETIndex,10,5,,0.841901603,0.694672131,0.619178082,0.654756156,1,0.072631937,0.091191371,1.6,23.5859313,3.435558558,0.171777928,20
adult,FACETIndex,10,6,,0.842896628,0.717415115,0.591422122,0.648354368,1,0.072463391,0.08787976,1.6,23.78567505,4.326057196,0.21630286,20
adult,FACETIndex,10,7,,0.842233278,0.722483046,0.60745614,0.659995235,1,0.087448073,0.127053876,2.2,23.50926423,7.578448772,0.378922439,20
adult,FACETIndex,10,8,,0.843007186,0.723247232,0.605205117,0.658981748,1,0.068434434,0.084628481,1.8,24.59099269,2.512559414,0.125627971,20
adult,FACETIndex,10,9,,0.843338861,0.711229947,0.602628002,0.65244052,1,0.077821896,0.098352167,1.9,23.22292066,7.683345079,0.384167254,20
adult,FACETIndex,50,0,,0.842675511,0.700102354,0.620408163,0.657850445,1,0.105225894,0.14615062,2.25,60.11011839,6.798424482,0.339921224,20
adult,FACETIndex,50,1,,0.842454395,0.711890244,0.620185923,0.662881476,1,0.14536941,0.196707003,2.15,56.50368929,10.19821644,0.509910822,20
adult,FACETIndex,50,2,,0.840906578,0.708093995,0.606440072,0.653336545,1,0.147082402,0.199185946,2.3,59.3047924,8.620738268,0.431036913,20
adult,FACETIndex,50,3,,0.848313986,0.720537046,0.641434263,0.678688525,0.95,0.096398534,0.14668585,2.526315789,57.95700526,7.806770325,0.390338516,20
adult,FACETIndex,50,4,,0.840022112,0.7,0.621043246,0.65816206,1,0.111678199,0.151943504,2.3,56.97160506,10.21917009,0.510958505,20
adult,FACETIndex,50,5,,0.844112769,0.693260654,0.638812785,0.664923954,1,0.104167876,0.156295485,2.25,55.79529357,8.060382843,0.403019142,20
adult,FACETIndex,50,6,,0.843891653,0.70987977,0.613092551,0.657945736,1,0.093957583,0.130087,2,57.04378009,7.434839487,0.371741974,20
adult,FACETIndex,50,7,,0.841348811,0.715671261,0.614912281,0.661476763,1,0.162036345,0.245108034,2.4,56.16812587,8.30622077,0.415311038,20
adult,FACETIndex,50,8,,0.845550028,0.723995881,0.620202911,0.668092183,1,0.084935719,0.111343145,2,58.67322874,5.492450237,0.274622512,20
adult,FACETIndex,50,9,,0.847761194,0.715920916,0.623470775,0.666505207,1,0.103657232,0.149735722,2.35,57.6742239,11.21116257,0.560558128,20
adult,FACETIndex,100,0,,0.844665561,0.705549846,0.622675737,0.661527343,1,0.152483386,0.219664661,2.7,109.7590861,8.604554892,0.430227745,20
adult,FACETIndex,100,1,,0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,108.2332129,12.28287601,0.614143801,20
adult,FACETIndex,100,2,,0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,111.4970744,8.503880501,0.425194025,20
adult,FACETIndex,100,3,,0.849087894,0.722166998,0.643204958,0.680402716,1,0.127897505,0.192677063,2.65,100.3538632,9.562406301,0.478120315,20
adult,FACETIndex,100,4,,0.84013267,0.700553598,0.620597414,0.658156028,1,0.109633716,0.160661907,2.35,101.1416438,9.264704943,0.463235247,20
adult,FACETIndex,100,5,,0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,96.3667078,7.721767664,0.386088383,20
adult,FACETIndex,100,6,,0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,104.4567506,11.10386133,0.555193067,20
adult,FACETIndex,100,7,,0.841901603,0.716174975,0.61754386,0.663212435,1,0.163204488,0.255931551,2.6,101.5268171,7.700419664,0.385020983,20
adult,FACETIndex,100,8,,0.846102819,0.725864739,0.620202911,0.668886775,1,0.097427156,0.142636038,2.35,90.98168111,4.794049978,0.239702499,20
adult,FACETIndex,100,9,,0.848977336,0.720734908,0.622111464,0.667801556,1,0.157375037,0.224356763,2.7,95.88610625,14.91821027,0.745910513,20
adult,FACETIndex,200,0,,0.846987286,0.711053985,0.627210884,0.666506024,1,0.210593405,0.303018821,2.85,191.8493123,10.32394505,0.516197252,20
adult,FACETIndex,200,1,,0.844223328,0.718621399,0.618415228,0.664763264,1,0.24359703,0.387008538,3.1,179.8691306,11.70503783,0.585251892,20
adult,FACETIndex,200,2,,0.840685462,0.707571802,0.605992844,0.652854734,1,0.173329581,0.267108881,2.85,204.2087579,11.26556396,0.563278198,20
adult,FACETIndex,200,3,,0.848645661,0.71964462,0.645418327,0.680513419,1,0.229233287,0.349059166,2.65,177.6989319,10.17823982,0.508911991,20
adult,FACETIndex,200,4,,0.841348811,0.703629032,0.62238074,0.660515732,1,0.135005407,0.189872112,2.45,166.8956423,11.65697694,0.582848847,20
adult,FACETIndex,200,5,,0.843891653,0.694111776,0.635159817,0.663328565,1,0.154677542,0.217430831,2.7,178.6442244,9.268568754,0.463428438,20
adult,FACETIndex,200,6,,0.845328911,0.716330859,0.60993228,0.658863692,1,0.113169994,0.171233872,2.65,201.6677017,8.130720377,0.406536019,20
adult,FACETIndex,200,7,,0.843228303,0.719450102,0.619736842,0.665881244,1,0.112612469,0.189920289,3.3,176.9282546,7.174925089,0.358746254,20
adult,FACETIndex,200,8,,0.847097844,0.726202661,0.625937362,0.672352523,1,0.132857797,0.206712788,2.75,170.9973257,9.126627207,0.45633136,20
adult,FACETIndex,200,9,,0.849861802,0.724247227,0.621205256,0.668780488,1,0.172156461,0.256570751,2.9,166.6574175,12.19583321,0.60979166,20
adult,FACETIndex,300,0,,0.845660586,0.707969152,0.624489796,0.663614458,1,0.182914376,0.278023969,3,278.1982596,10.63684034,0.531842017,20
adult,FACETIndex,300,1,,0.845992261,0.722966014,0.621513944,0.668412283,1,0.237664318,0.403976941,3.15,237.9482698,10.92011642,0.546005821,20
adult,FACETIndex,300,2,,0.841348811,0.709576138,0.606440072,0.653966723,1,0.169240552,0.246894533,2.9,261.6470976,10.49129629,0.524564815,20
adult,FACETIndex,300,3,,0.849530127,0.724051896,0.64231961,0.680741262,1,0.141996953,0.232289964,3.05,301.236908,11.04154015,0.552077007,20
adult,FACETIndex,300,4,,0.839911553,0.700251889,0.619705751,0.657521287,1,0.191552646,0.281649321,2.9,267.4185824,12.69212556,0.634606278,20
adult,FACETIndex,300,5,,0.845660586,0.698301698,0.638356164,0.666984733,1,0.173399921,0.277710354,3.1,237.6628752,8.80584836,0.440292418,20
adult,FACETIndex,300,6,,0.845328911,0.715873016,0.610835214,0.659196102,1,0.167733335,0.26413935,3.15,238.2609949,13.59901786,0.679950893,20
adult,FACETIndex,300,7,,0.844112769,0.722165475,0.620175439,0.667295894,1,0.220482986,0.361998665,3.2,241.926414,13.7509129,0.687545645,20
adult,FACETIndex,300,8,,0.847208402,0.728210418,0.622849581,0.671421778,1,0.187125109,0.285170202,3.2,261.6912904,11.35040283,0.567520142,20
adult,FACETIndex,300,9,,0.849419569,0.722017867,0.622564567,0.668613139,1,0.159876512,0.252658262,3.1,237.8702519,14.32983947,0.716491973,20
adult,FACETIndex,400,0,,0.846655611,0.710607621,0.62585034,0.665541355,1,0.201834919,0.324719472,3.2,310.3994794,11.38750887,0.569375443,20
adult,FACETIndex,400,1,,0.845550028,0.722394221,0.619743249,0.667143198,1,0.220685833,0.399665718,3.25,320.0638137,9.839276791,0.49196384,20
adult,FACETIndex,400,2,,0.84145937,0.709290188,0.607781753,0.654624277,1,0.17265619,0.254910595,3.1,312.3614104,7.421653032,0.371082652,20
adult,FACETIndex,400,3,,0.849861802,0.724017902,0.644532979,0.681967213,1,0.145327431,0.230030647,2.85,314.977813,10.08408999,0.5042045,20
adult,FACETIndex,400,4,,0.839579878,0.698795181,0.620597414,0.657378985,1,0.202722468,0.291824492,3.1,314.8588779,15.06377506,0.753188753,20
adult,FACETIndex,400,5,,0.844223328,0.694763092,0.636073059,0.664123957,1,0.144000611,0.223761612,3.05,340.4455841,9.30923605,0.465461802,20
adult,FACETIndex,400,6,,0.845881703,0.71754107,0.611286682,0.660165773,1,0.208264915,0.316634696,2.8,314.7700877,12.15765953,0.607882977,20
