dataset,n_samples,n_features,n_trees,max_depth,test_size,avg_nnodes,avg_nleaves,avg_depth,accuracy_hard,precision_hard,recall_hard,f1_hard,accuracy_soft,precision_soft,recall_soft,f1_soft
cancer,568,30,20,3,0.2,12.7,6.85,3.0,0.9385964912280702,1.0,0.8409090909090909,0.9135802469135803,0.9385964912280702,1.0,0.8409090909090909,0.9135802469135803
cancer,568,30,20,3,0.2,13.3,7.15,3.0,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.909090909090909
cancer,568,30,20,3,0.2,12.6,6.8,3.0,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747
cancer,568,30,20,3,0.2,12.0,6.5,3.0,0.956140350877193,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.956140350877193,0.9761904761904762,0.9111111111111111,0.9425287356321839
cancer,568,30,20,3,0.2,12.9,6.95,3.0,0.9385964912280702,1.0,0.8444444444444444,0.9156626506024096,0.9385964912280702,0.975,0.8666666666666667,0.9176470588235294
glass,162,9,20,3,0.2,11.7,6.35,3.0,0.8787878787878788,0.85,0.9444444444444444,0.8947368421052632,0.9090909090909091,0.9411764705882353,0.8888888888888888,0.9142857142857143
glass,162,9,20,3,0.2,12.0,6.5,3.0,0.7272727272727273,0.6521739130434783,0.9375,0.7692307692307693,0.7272727272727273,0.6521739130434783,0.9375,0.7692307692307693
glass,162,9,20,3,0.2,12.9,6.95,3.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919
glass,162,9,20,3,0.2,12.0,6.5,3.0,0.8484848484848485,0.7916666666666666,1.0,0.8837209302325582,0.8484848484848485,0.7916666666666666,1.0,0.8837209302325582
glass,162,9,20,3,0.2,12.7,6.85,3.0,0.7575757575757576,0.8,0.8,0.8000000000000002,0.7272727272727273,0.7894736842105263,0.75,0.7692307692307692
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.8186119873817035,0.8091897579796563,0.940481043620057,0.8699095022624433,0.8175604626708728,0.803589920607525,0.9490419894007338,0.8702803738317757
magic,19019,10,20,3,0.2,14.9,7.95,3.0,0.8049421661409043,0.7791869918699187,0.9743798291988613,0.8659197687025659,0.7875920084121977,0.7595095881798176,0.9825132167547783,0.8567375886524823
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.7878548895899053,0.7650429799426934,0.9720873786407767,0.8562266167824693,0.7907465825446898,0.769280205655527,0.9684466019417476,0.8574498567335243
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.8167718191377498,0.7940406024885396,0.972723626153229,0.8743464936001443,0.8178233438485805,0.7945026178010471,0.9739269955876454,0.8751126329068301
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.7994216614090431,0.7766579973992198,0.9691683569979715,0.862299223966793,0.7996845425867508,0.7735303565692259,0.9768762677484787,0.8633918967371819
spambase,4600,57,20,3,0.2,14.5,7.75,3.0,0.8978260869565218,0.9614035087719298,0.7675070028011205,0.8535825545171339,0.9228260869565217,0.946875,0.8487394957983193,0.8951255539143279
spambase,4600,57,20,3,0.2,14.9,7.95,3.0,0.908695652173913,0.9655172413793104,0.7909604519774012,0.8695652173913044,0.9173913043478261,0.9483870967741935,0.8305084745762712,0.8855421686746989
spambase,4600,57,20,3,0.2,14.8,7.9,3.0,0.8880434782608696,0.9504950495049505,0.7659574468085106,0.8483063328424153,0.8923913043478261,0.9511400651465798,0.776595744680851,0.8550512445095168
spambase,4600,57,20,3,0.2,14.4,7.7,3.0,0.8739130434782608,0.9701492537313433,0.7065217391304348,0.8176100628930817,0.8934782608695652,0.95,0.7744565217391305,0.8532934131736527
spambase,4600,57,20,3,0.2,14.5,7.75,3.0,0.8934782608695652,0.9413793103448276,0.7711864406779662,0.8478260869565217,0.9032608695652173,0.9288025889967637,0.8107344632768362,0.865761689291101
vertebral,309,6,20,3,0.2,12.5,6.75,3.0,0.8870967741935484,0.9230769230769231,0.9,0.9113924050632911,0.8870967741935484,0.8837209302325582,0.95,0.9156626506024096
vertebral,309,6,20,3,0.2,13.0,7.0,3.0,0.7903225806451613,0.8043478260869565,0.9024390243902439,0.8505747126436782,0.7903225806451613,0.7916666666666666,0.926829268292683,0.8539325842696629
vertebral,309,6,20,3,0.2,12.8,6.9,3.0,0.8064516129032258,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8225806451612904,0.8571428571428571,0.8780487804878049,0.8674698795180722
vertebral,309,6,20,3,0.2,13.6,7.3,3.0,0.8225806451612904,0.8163265306122449,0.9523809523809523,0.8791208791208791,0.8548387096774194,0.8235294117647058,1.0,0.9032258064516129
vertebral,309,6,20,3,0.2,13.1,7.05,3.0,0.8548387096774194,0.8636363636363636,0.926829268292683,0.8941176470588236,0.8387096774193549,0.8444444444444444,0.926829268292683,0.8837209302325582
