dataset,n_samples,n_features,n_trees,max_depth,test_size,avg_nnodes,avg_nleaves,avg_depth,accuracy_hard,precision_hard,recall_hard,f1_hard,accuracy_soft,precision_soft,recall_soft,f1_soft
cancer,568,30,20,3,0.2,12.7,6.85,3.0,0.9649122807017544,0.94,0.9791666666666666,0.9591836734693877,0.9473684210526315,0.9038461538461539,0.9791666666666666,0.9400000000000001
cancer,568,30,20,3,0.2,13.9,7.45,3.0,0.9649122807017544,0.9743589743589743,0.926829268292683,0.9500000000000001,0.9649122807017544,0.9743589743589743,0.926829268292683,0.9500000000000001
cancer,568,30,20,3,0.2,13.4,7.2,3.0,0.9298245614035088,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9298245614035088,0.8918918918918919,0.8918918918918919,0.8918918918918919
cancer,568,30,20,3,0.2,11.4,6.2,3.0,0.9473684210526315,0.9069767441860465,0.9512195121951219,0.9285714285714286,0.9473684210526315,0.9069767441860465,0.9512195121951219,0.9285714285714286
cancer,568,30,20,3,0.2,13.1,7.05,3.0,0.9473684210526315,0.9767441860465116,0.8936170212765957,0.9333333333333332,0.9473684210526315,0.9767441860465116,0.8936170212765957,0.9333333333333332
cancer,568,30,20,3,0.2,13.3,7.15,3.0,0.9473684210526315,0.925,0.925,0.925,0.9473684210526315,0.9047619047619048,0.95,0.9268292682926829
cancer,568,30,20,3,0.2,13.2,7.1,3.0,0.9210526315789473,0.918918918918919,0.85,0.8831168831168831,0.9210526315789473,0.918918918918919,0.85,0.8831168831168831
cancer,568,30,20,3,0.2,13.6,7.3,3.0,0.9385964912280702,0.9047619047619048,0.926829268292683,0.9156626506024096,0.9385964912280702,0.9047619047619048,0.926829268292683,0.9156626506024096
cancer,568,30,20,3,0.2,12.8,6.9,3.0,0.9385964912280702,0.918918918918919,0.8947368421052632,0.9066666666666667,0.9385964912280702,0.8974358974358975,0.9210526315789473,0.9090909090909091
cancer,568,30,20,3,0.2,13.0,7.0,3.0,0.9298245614035088,0.8648648648648649,0.9142857142857143,0.888888888888889,0.9298245614035088,0.8648648648648649,0.9142857142857143,0.888888888888889
