rf_ntrees, rf_maxdepth, avg_nnodes, avg_nleaves, avg_depth, init_time, clique_time, nkcliques 
1, 3, 13.0, 7.0, 3.0, 0.0019998550415039062, 0.0010001659393310547, 14 
2, 3, 11.0, 6.0, 3.0, 0.0020003318786621094, 0.0, 16 
3, 3, 11.0, 6.0, 3.0, 0.0039997100830078125, 0.0, 43 
4, 3, 13.0, 7.0, 3.0, 0.009000062942504883, 0.0, 199 
5, 3, 12.6, 6.8, 3.0, 0.013999700546264648, 0.0, 361 
6, 3, 12.666666666666666, 6.833333333333333, 3.0, 0.020999431610107422, 0.0010001659393310547, 1500 
7, 3, 13.285714285714286, 7.142857142857143, 3.0, 0.03500056266784668, 0.003000020980834961, 3367 
8, 3, 13.0, 7.0, 3.0, 0.051999568939208984, 0.006999492645263672, 7372 
9, 3, 11.666666666666666, 6.333333333333333, 3.0, 0.059999704360961914, 0.02100062370300293, 17628 
10, 3, 10.8, 5.9, 3.0, 0.061014413833618164, 0.018013715744018555, 17170 
11, 3, 10.454545454545455, 5.7272727272727275, 3.0, 0.11699938774108887, 0.0710000991821289, 53629 
12, 3, 13.333333333333334, 7.166666666666667, 3.0, 0.43500351905822754, 0.33600330352783203, 232824 
13, 3, 11.153846153846153, 6.076923076923077, 3.0, 0.37599992752075195, 0.2960023880004883, 191667 
14, 3, 12.285714285714286, 6.642857142857143, 3.0, 1.5769975185394287, 1.4709978103637695, 888300 
15, 3, 13.133333333333333, 7.066666666666666, 3.0, 6.109998941421509, 5.960000276565552, 3057126 
16, 3, 12.875, 6.9375, 3.0, 22.67899990081787, 22.532999753952026, 9420276 
17, 3, 12.647058823529411, 6.823529411764706, 3.0, 366.19351410865784, 365.0755150318146, 29258242 
