,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,2.0,0.9918433931484503,0.9916107382550335,1.0,0.9957877000842459,1.0,0.12145302376465773
1,3.0,0.9951060358890701,0.9966216216216216,0.9983079526226735,0.9974640743871512,1.0,0.2570280256345642
2,4.0,0.99836867862969,0.9983108108108109,1.0,0.9991546914623838,1.0,0.15153515617639396
3,5.0,1.0,1.0,1.0,1.0,1.0,0.14974868649338688
4,6.0,1.0,1.0,1.0,1.0,1.0,0.17223337625922416
5,7.0,1.0,1.0,1.0,1.0,1.0,0.19054550674295048
6,8.0,1.0,1.0,1.0,1.0,1.0,0.18581672727757967
7,9.0,0.9967373572593801,0.9966273187183811,1.0,0.9983108108108107,1.0,0.15030177371542905
8,10.0,1.0,1.0,1.0,1.0,1.0,0.11485416500343604
9,11.0,1.0,1.0,1.0,1.0,1.0,0.16728827727555234
10,12.0,1.0,1.0,1.0,1.0,1.0,0.17050206207685928
11,13.0,0.9967373572593801,0.9966273187183811,1.0,0.9983108108108107,1.0,0.18876870323055223
12,14.0,1.0,1.0,1.0,1.0,1.0,0.33583825759132285
13,15.0,1.0,1.0,1.0,1.0,0.006525285481239762,0.35646021499878944
14,16.0,1.0,1.0,1.0,1.0,0.9967373572593801,0.32529425537599654
15,17.0,1.0,1.0,1.0,1.0,0.0,
16,18.0,1.0,1.0,1.0,1.0,0.0,
17,19.0,1.0,1.0,1.0,1.0,0.0,
18,20.0,1.0,1.0,1.0,1.0,0.0,
19,21.0,1.0,1.0,1.0,1.0,0.0,
20,22.0,1.0,1.0,1.0,1.0,0.0,
21,23.0,1.0,1.0,1.0,1.0,0.0,
22,24.0,1.0,1.0,1.0,1.0,0.0,
23,25.0,1.0,1.0,1.0,1.0,0.0,
24,26.0,1.0,1.0,1.0,1.0,0.0,
25,27.0,1.0,1.0,1.0,1.0,0.0,
26,28.0,1.0,1.0,1.0,1.0,0.0,
27,29.0,1.0,1.0,1.0,1.0,0.0,
28,30.0,1.0,1.0,1.0,1.0,0.0,
29,31.0,1.0,1.0,1.0,1.0,0.0,
30,32.0,1.0,1.0,1.0,1.0,0.0,
31,33.0,1.0,1.0,1.0,1.0,0.0,
32,34.0,1.0,1.0,1.0,1.0,0.0,
33,35.0,1.0,1.0,1.0,1.0,0.0,
