,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,2.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.0,
1,3.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,1.0,0.21093171863682003
2,4.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,1.0,0.2145531455921018
3,5.0,1.0,1.0,1.0,1.0,1.0,0.43471444061798736
4,6.0,0.9736842105263158,1.0,0.972972972972973,0.9863013698630138,1.0,0.14403755533319162
5,7.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.0,
6,8.0,1.0,1.0,1.0,1.0,0.4605263157894737,0.3184330729746927
7,9.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.0,
8,10.0,0.9736842105263158,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.21052631578947367,0.23664425743693868
9,11.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.0,
10,12.0,1.0,1.0,1.0,1.0,0.381578947368421,0.30502017424908745
11,13.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,0.14473684210526316,0.20220461871815051
12,14.0,1.0,1.0,1.0,1.0,0.14473684210526316,0.26033562259777765
13,15.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,0.2763157894736842,0.2578812176240812
14,16.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.0,
15,17.0,0.9736842105263158,1.0,0.972972972972973,0.9863013698630138,0.2894736842105263,0.24137060142368652
16,18.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,0.13157894736842102,0.12905112749899536
17,19.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,0.13157894736842102,0.17911481883872135
18,20.0,1.0,1.0,1.0,1.0,0.07894736842105265,0.1871154515107575
19,21.0,1.0,1.0,1.0,1.0,0.11842105263157898,0.2382388325529058
20,22.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.0,
21,23.0,0.9736842105263158,1.0,0.972972972972973,0.9863013698630138,0.07894736842105265,0.1108060576496747
22,24.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,0.07894736842105265,0.08068170128802217
23,25.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,0.09210526315789469,0.198488230980488
24,26.0,0.9868421052631579,1.0,0.9864864864864865,0.9931972789115647,0.07894736842105265,0.17919842891681892
25,27.0,0.9736842105263158,1.0,0.972972972972973,0.9863013698630138,0.052631578947368474,0.12176433287758338
26,28.0,1.0,1.0,1.0,1.0,0.02631578947368418,0.01477301316159326
27,29.0,1.0,1.0,1.0,1.0,0.03947368421052633,0.212722782162776
