,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,2.0,0.9934747145187602,0.9983108108108109,0.9949494949494949,0.9966273187183812,1.0,0.2910223887818706
1,3.0,0.9951060358890701,0.9983136593591906,0.9966329966329966,0.9974726200505475,1.0,0.4552412173895321
2,4.0,0.9967373572593801,1.0,0.9966329966329966,0.9983136593591906,1.0,0.30123220239599496
3,5.0,1.0,1.0,1.0,1.0,1.0,0.3937797877978649
4,6.0,1.0,1.0,1.0,1.0,0.967373572593801,0.49207586824703964
5,7.0,1.0,1.0,1.0,1.0,1.0,0.403617415704771
6,8.0,1.0,1.0,1.0,1.0,0.8156606851549755,0.5188721137048942
7,9.0,1.0,1.0,1.0,1.0,0.9184339314845025,0.47189224694916443
8,10.0,1.0,1.0,1.0,1.0,1.0,0.25788056852424734
9,11.0,1.0,1.0,1.0,1.0,0.9918433931484503,0.27446938128570475
10,12.0,1.0,1.0,1.0,1.0,0.9967373572593801,0.34017535904312013
11,13.0,1.0,1.0,1.0,1.0,0.9902120717781403,0.3633613213269978
12,14.0,1.0,1.0,1.0,1.0,0.6199021207177814,0.28384944997878747
13,15.0,1.0,1.0,1.0,1.0,0.6949429037520392,0.539966613175479
14,16.0,1.0,1.0,1.0,1.0,0.9885807504078303,0.43030056831532837
15,17.0,1.0,1.0,1.0,1.0,0.9820554649265906,0.4673965435515913
16,18.0,1.0,1.0,1.0,1.0,0.7096247960848288,0.4008540396107952
17,19.0,1.0,1.0,1.0,1.0,0.19902120717781402,0.41366927865624536
18,20.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.23558971771735082
19,21.0,1.0,1.0,1.0,1.0,0.011419249592169667,0.619700001949158
20,22.0,1.0,1.0,1.0,1.0,0.0538336052202284,0.5806895022022207
21,23.0,1.0,1.0,1.0,1.0,0.0,
22,24.0,1.0,1.0,1.0,1.0,0.0,
23,25.0,1.0,1.0,1.0,1.0,0.9787928221859706,0.3267028472961129
24,26.0,1.0,1.0,1.0,1.0,0.0,
25,27.0,1.0,1.0,1.0,1.0,0.0,
26,28.0,1.0,1.0,1.0,1.0,0.0,
27,29.0,1.0,1.0,1.0,1.0,0.0,
28,30.0,1.0,1.0,1.0,1.0,0.0,
29,31.0,1.0,1.0,1.0,1.0,0.0,
30,32.0,1.0,1.0,1.0,1.0,0.0,
31,33.0,1.0,1.0,1.0,1.0,0.0,
32,34.0,1.0,1.0,1.0,1.0,0.034257748776509,0.42023172541486337
33,35.0,1.0,1.0,1.0,1.0,0.0,
34,36.0,1.0,1.0,1.0,1.0,0.0,
35,37.0,1.0,1.0,1.0,1.0,0.0,
36,38.0,1.0,1.0,1.0,1.0,0.0,
