,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
0,2.0,0.9073569482288828,0.9296187683284457,0.9694189602446484,0.9491017964071856,1.0,0.07103065938708555,118.0,59.5,13.6
1,3.0,0.9073569482288828,0.9542682926829268,0.9427710843373494,0.9484848484848485,1.0,0.11754002377042141,141.1,71.05,14.0
2,4.0,0.9727520435967303,0.9880952380952381,0.9822485207100592,0.9851632047477745,1.0,0.13560616239545514,109.4,55.2,14.25
3,5.0,0.9591280653950953,0.9702380952380952,0.9848942598187311,0.977511244377811,1.0,0.14774451864918353,92.7,46.85,13.25
4,6.0,0.9673024523160763,0.9705014749262537,0.9939577039274925,0.982089552238806,1.0,0.1920630457305301,102.3,51.65,13.45
5,7.0,0.9673024523160763,0.9642857142857143,1.0,0.9818181818181818,1.0,0.1539659409409758,99.0,50.0,13.1
6,8.0,0.9564032697547684,0.9647058823529412,0.9879518072289156,0.9761904761904762,1.0,0.1993633456744136,81.8,41.4,12.95
7,9.0,0.9836512261580381,0.9882005899705014,0.9940652818991098,0.9911242603550297,1.0,0.15842231593178058,69.4,35.2,11.4
8,10.0,0.9809264305177112,0.9850746268656716,0.9939759036144579,0.9895052473763117,1.0,0.13668205251106,70.2,35.6,12.0
9,11.0,0.9782016348773842,0.9791044776119403,0.9969604863221885,0.9879518072289157,1.0,0.18352270738766124,62.2,31.6,11.15
10,12.0,0.989100817438692,0.9939577039274925,0.9939577039274925,0.9939577039274925,1.0,0.24907013355197122,61.8,31.4,11.1
11,13.0,0.989100817438692,0.9939393939393939,0.9939393939393939,0.9939393939393939,1.0,0.24195024612189026,62.2,31.6,10.85
12,14.0,0.9863760217983651,0.9880597014925373,0.9969879518072289,0.9925037481259371,0.9945504087193461,0.23988417213977295,46.7,23.85,9.55
13,15.0,0.9945504087193461,0.9939024390243902,1.0,0.9969418960244648,1.0,0.25913370284015025,44.2,22.6,9.05
14,16.0,0.9918256130790191,0.9910979228486647,1.0,0.9955290611028316,1.0,0.2676609886481542,48.6,24.8,9.55
15,17.0,0.9863760217983651,0.9909638554216867,0.9939577039274925,0.9924585218702865,1.0,0.270391612543947,45.4,23.2,8.95
16,18.0,0.9836512261580381,0.9938461538461538,0.9877675840978594,0.9907975460122699,1.0,0.30422281827443143,46.1,23.55,9.5
17,19.0,0.9918256130790191,0.9969879518072289,0.993993993993994,0.9954887218045113,0.997275204359673,0.4179768810679937,40.9,20.95,8.8
18,20.0,0.9945504087193461,0.9970059880239521,0.9970059880239521,0.9970059880239521,1.0,0.37532019564160846,51.5,26.25,9.55
19,21.0,0.9863760217983651,0.9880597014925373,0.9969879518072289,0.9925037481259371,0.997275204359673,0.2684653766255936,47.5,24.25,9.4
20,2.0,0.9400544959128065,0.9400544959128065,1.0,0.9691011235955056,0.0,,203.4,102.2,17.75
21,3.0,0.9209809264305178,0.9413489736070382,0.9727272727272728,0.9567809239940388,1.0,0.10934623760093824,160.5,80.75,14.6
22,4.0,0.9618528610354223,0.9652173913043478,0.9940298507462687,0.9794117647058824,1.0,0.13991226611002225,88.3,44.65,11.0
23,5.0,0.9618528610354223,0.9681159420289855,0.9910979228486647,0.9794721407624634,1.0,0.16155907853428958,106.4,53.7,12.05
24,6.0,0.9727520435967303,0.9823008849557522,0.9881305637982196,0.9852071005917159,1.0,0.14282475426716043,107.2,54.1,11.45
25,7.0,0.9782016348773842,0.9792284866468842,0.9969788519637462,0.9880239520958084,1.0,0.17303501948284894,86.6,43.8,10.85
26,8.0,0.9673024523160763,0.978978978978979,0.9848942598187311,0.9819277108433735,1.0,0.23218148280257564,74.4,37.7,10.55
27,9.0,0.9836512261580381,0.9850299401197605,0.996969696969697,0.9909638554216867,1.0,0.2564357800564261,67.7,34.35,10.75
28,10.0,0.9754768392370572,0.9791044776119403,0.9939393939393939,0.9864661654135337,1.0,0.2744846043127794,61.6,31.3,9.65
29,11.0,0.9700272479564033,0.9705014749262537,0.996969696969697,0.9835575485799701,1.0,0.1894705307331545,68.1,34.55,10.05
30,12.0,0.9863760217983651,0.9907692307692307,0.9938271604938271,0.9922958397534669,1.0,0.24890645549494708,62.3,31.65,11.6
31,13.0,0.9836512261580381,0.9912023460410557,0.9912023460410557,0.9912023460410557,0.997275204359673,0.31849344522230066,56.2,28.6,10.1
32,14.0,0.9918256130790191,0.9940476190476191,0.9970149253731343,0.9955290611028316,0.997275204359673,0.30730972253035466,59.3,30.15,9.65
33,15.0,0.9782016348773842,0.9879154078549849,0.9879154078549849,0.9879154078549849,1.0,0.2234148335958735,55.0,28.0,10.2
34,16.0,0.9836512261580381,0.9908814589665653,0.9908814589665653,0.9908814589665653,1.0,0.2299961663118482,50.9,25.95,10.0
35,17.0,0.9836512261580381,0.9878787878787879,0.9939024390243902,0.9908814589665653,0.9945504087193461,0.2810117129154247,45.6,23.3,9.0
