,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
0,2.0,0.99836867862969,1.0,0.998324958123953,0.9991617770326907,1.0,0.21656421381215665,32.7,16.85,9.25
1,3.0,1.0,1.0,1.0,1.0,1.0,0.2544787360342738,18.8,9.9,6.85
2,4.0,1.0,1.0,1.0,1.0,1.0,0.2562872719316574,13.9,7.45,5.6
3,5.0,1.0,1.0,1.0,1.0,1.0,0.2656168842757099,14.2,7.6,5.65
4,6.0,1.0,1.0,1.0,1.0,1.0,0.25352106879727093,15.3,8.15,5.6
5,7.0,1.0,1.0,1.0,1.0,1.0,0.31074489323275795,14.7,7.85,5.35
6,8.0,1.0,1.0,1.0,1.0,1.0,0.4600898290081424,13.3,7.15,5.5
7,9.0,1.0,1.0,1.0,1.0,1.0,0.28734781988733327,12.0,6.5,5.3
8,10.0,1.0,1.0,1.0,1.0,1.0,0.2827964290359085,15.8,8.4,5.9
9,11.0,1.0,1.0,1.0,1.0,0.9951060358890701,0.35195992775250556,16.5,8.75,6.0
10,12.0,1.0,1.0,1.0,1.0,0.9967373572593801,0.19827820560851628,12.9,6.95,5.05
11,13.0,1.0,1.0,1.0,1.0,1.0,0.31087930777854944,16.6,8.8,6.0
12,14.0,1.0,1.0,1.0,1.0,1.0,0.3031276633028612,9.3,5.15,3.2
13,15.0,1.0,1.0,1.0,1.0,1.0,0.3457278012985651,7.9,4.45,2.85
14,16.0,1.0,1.0,1.0,1.0,0.9445350734094616,0.33351319260011014,7.2,4.1,2.85
15,17.0,1.0,1.0,1.0,1.0,0.931484502446982,0.3353164655128603,8.3,4.65,3.3
16,18.0,1.0,1.0,1.0,1.0,0.9722675367047309,0.2899867447455489,7.8,4.4,2.85
17,19.0,1.0,1.0,1.0,1.0,0.022838499184339334,0.3304686418526,6.3,3.65,2.15
18,20.0,1.0,1.0,1.0,1.0,0.5415986949429037,0.49137420456750097,6.7,3.85,2.5
19,21.0,1.0,1.0,1.0,1.0,0.039151712887438794,0.5167546884941969,9.6,5.3,3.75
20,22.0,1.0,1.0,1.0,1.0,0.9869494290375204,0.3420074826128245,6.7,3.85,2.45
21,23.0,1.0,1.0,1.0,1.0,0.8042414355628058,0.2960875398730932,6.7,3.85,2.35
22,24.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.3028219863480259,6.0,3.5,2.25
23,25.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.17120897094353307,6.3,3.65,2.4
24,26.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.21134572995414946,5.1,3.05,2.05
25,27.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.18181618548791115,6.5,3.75,2.6
26,28.0,1.0,1.0,1.0,1.0,0.8091353996737357,0.3901973721949887,7.9,4.45,2.8
27,29.0,1.0,1.0,1.0,1.0,0.33442088091353994,0.31267134542531855,7.0,4.0,2.75
28,30.0,1.0,1.0,1.0,1.0,0.9804241435562806,0.35149844405261904,8.4,4.7,2.55
29,31.0,1.0,1.0,1.0,1.0,0.0,,5.3,3.15,1.9
30,32.0,1.0,1.0,1.0,1.0,0.0,,5.7,3.35,2.15
31,33.0,1.0,1.0,1.0,1.0,0.0,,7.2,4.1,2.85
32,34.0,1.0,1.0,1.0,1.0,0.0,,7.8,4.4,2.95
33,35.0,1.0,1.0,1.0,1.0,0.07667210440456773,0.2960041798245079,6.5,3.75,2.45
34,36.0,1.0,1.0,1.0,1.0,0.967373572593801,0.376741962127112,4.7,2.85,1.8
35,37.0,1.0,1.0,1.0,1.0,0.0,,7.2,4.1,2.5
36,38.0,1.0,1.0,1.0,1.0,0.0,,5.6,3.3,2.25
37,39.0,1.0,1.0,1.0,1.0,0.0,,5.1,3.05,1.85
38,40.0,1.0,1.0,1.0,1.0,0.0,,5.7,3.35,2.05
39,41.0,1.0,1.0,1.0,1.0,0.0,,5.5,3.25,1.95
40,42.0,1.0,1.0,1.0,1.0,0.0,,5.2,3.1,1.95
41,43.0,1.0,1.0,1.0,1.0,0.0,,5.6,3.3,2.15
42,44.0,1.0,1.0,1.0,1.0,0.0,,6.3,3.65,2.35
43,45.0,1.0,1.0,1.0,1.0,0.0,,5.7,3.35,2.3
44,46.0,1.0,1.0,1.0,1.0,0.0,,6.8,3.9,2.55
45,47.0,1.0,1.0,1.0,1.0,0.0,,6.6,3.8,2.3
46,48.0,1.0,1.0,1.0,1.0,0.0,,5.9,3.45,2.2
47,49.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.2230383760732279,5.0,3.0,1.95
48,50.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.26828647989682464,5.6,3.3,2.15
49,51.0,1.0,1.0,1.0,1.0,0.0016313213703099683,0.377205887993469,5.9,3.45,2.35
50,52.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.7
51,53.0,1.0,1.0,1.0,1.0,0.0,,5.2,3.1,1.95
52,54.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.6
53,55.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.8
54,56.0,1.0,1.0,1.0,1.0,0.0,,5.1,3.05,1.9
55,57.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.5
56,58.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.85
57,59.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45
58,60.0,1.0,1.0,1.0,1.0,0.0,,5.1,3.05,1.9
59,61.0,1.0,1.0,1.0,1.0,0.0,,5.0,3.0,1.65
60,62.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.75
61,63.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.75
62,64.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.45
63,65.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.85
64,66.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.65
65,67.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.55
66,68.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
67,69.0,1.0,1.0,1.0,1.0,0.0,,4.1,2.55,1.5
68,70.0,1.0,1.0,1.0,1.0,0.0,,4.5,2.75,1.75
69,71.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.8
70,72.0,1.0,1.0,1.0,1.0,0.0,,4.9,2.95,1.8
71,73.0,1.0,1.0,1.0,1.0,0.0,,4.4,2.7,1.6
72,74.0,1.0,1.0,1.0,1.0,0.0,,4.3,2.65,1.6
73,75.0,1.0,1.0,1.0,1.0,0.0,,4.6,2.8,1.8
74,76.0,1.0,1.0,1.0,1.0,0.0,,5.8,3.4,2.15
