,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
0,2.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.0,,20.9,10.95,6.45
1,3.0,0.9473684210526315,0.9726027397260274,0.9726027397260274,0.9726027397260274,1.0,0.26943928910404663,22.3,11.65,5.8
2,4.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.0,,20.3,10.65,5.95
3,5.0,0.9473684210526315,0.9459459459459459,1.0,0.9722222222222222,0.9868421052631579,0.35056824985772117,20.3,10.65,6.1
4,6.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,0.0,,15.8,8.4,5.15
5,7.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.0,,17.3,9.15,5.7
6,8.0,0.9736842105263158,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.22368421052631582,0.30162279385226143,14.3,7.65,4.65
7,9.0,1.0,1.0,1.0,1.0,1.0,0.3884470271484442,14.6,7.8,5.0
8,10.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,0.0,,7.0,4.0,2.45
9,11.0,1.0,1.0,1.0,1.0,0.22368421052631582,0.3147288830408146,12.6,6.8,4.65
10,12.0,0.9736842105263158,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.1578947368421053,0.2324902488207058,11.7,6.35,4.2
11,13.0,0.9605263157894737,0.9594594594594594,1.0,0.9793103448275862,0.26315789473684215,0.22631332672117757,9.9,5.45,3.6
12,14.0,0.9605263157894737,0.96,1.0,0.9795918367346939,0.25,0.1880062356845539,9.7,5.35,3.4
13,15.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,0.0,,13.8,7.4,4.35
14,16.0,0.9473684210526315,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9078947368421053,0.2658077936621632,12.8,6.9,4.25
15,17.0,0.9473684210526315,0.9428571428571428,1.0,0.9705882352941176,0.14473684210526316,0.180154596164183,9.6,5.3,4.05
16,18.0,0.9736842105263158,0.972972972972973,1.0,0.9863013698630138,0.02631578947368418,0.22273126528079518,10.4,5.7,3.65
17,19.0,0.9736842105263158,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.21052631578947367,0.1956853403847074,10.4,5.7,4.0
18,20.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.0,,13.5,7.25,4.4
19,21.0,0.9868421052631579,0.9866666666666667,1.0,0.9932885906040269,0.03947368421052633,0.1377481035036122,11.6,6.3,4.2
20,22.0,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.06578947368421051,0.17643538490697647,11.9,6.45,3.95
21,23.0,0.9868421052631579,0.9863013698630136,1.0,0.993103448275862,0.06578947368421051,0.17363648268598408,10.4,5.7,3.9
22,24.0,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,0.07894736842105265,0.2284548311328478,9.1,5.05,3.5
23,25.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,0.06578947368421051,0.15686344518232492,10.5,5.75,3.95
24,26.0,0.9868421052631579,0.9861111111111112,1.0,0.993006993006993,0.03947368421052633,0.18541480121548784,11.2,6.1,3.9
25,27.0,1.0,1.0,1.0,1.0,0.02631578947368418,0.17370859899568386,10.3,5.65,4.1
26,28.0,0.9473684210526315,0.971830985915493,0.971830985915493,0.971830985915493,0.17105263157894735,0.1280000664607963,10.5,5.75,3.65
27,29.0,1.0,1.0,1.0,1.0,0.06578947368421051,0.1929571659821798,13.3,7.15,4.35
28,30.0,0.9736842105263158,0.9733333333333334,1.0,0.9864864864864865,0.052631578947368474,0.1979348399563991,9.0,5.0,3.35
29,2.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,0.0,,20.3,10.65,5.45
30,3.0,0.9605263157894737,0.9583333333333334,1.0,0.9787234042553191,1.0,0.31432440199052186,16.2,8.6,5.0
31,4.0,0.9736842105263158,0.9859154929577465,0.9859154929577465,0.9859154929577465,1.0,0.3619480771406328,15.9,8.45,5.55
32,5.0,0.9736842105263158,0.971830985915493,1.0,0.9857142857142858,0.6710526315789473,0.3092194975805859,15.3,8.15,4.8
33,6.0,0.9605263157894737,0.958904109589041,1.0,0.9790209790209791,1.0,0.26575371137282955,13.2,7.1,4.6
34,7.0,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,1.0,0.28895158038536495,17.3,9.15,5.5
35,8.0,0.9868421052631579,0.9866666666666667,1.0,0.9932885906040269,0.22368421052631582,0.3133899874460003,16.2,8.6,5.2
36,9.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.0,,12.8,6.9,4.75
37,10.0,0.9605263157894737,0.9859154929577465,0.9722222222222222,0.979020979020979,0.32894736842105265,0.2156419481719223,14.7,7.85,4.85
38,11.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,0.0,,16.7,8.85,5.35
39,12.0,0.9473684210526315,0.9452054794520548,1.0,0.971830985915493,0.7631578947368421,0.2697464784111966,11.4,6.2,4.0
40,13.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,0.0,,9.1,5.05,3.55
41,14.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,,13.4,7.2,4.65
42,15.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,0.0,,11.9,6.45,4.4
43,16.0,0.9736842105263158,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.23684210526315785,0.29817277089660593,14.2,7.6,4.55
44,17.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,0.0,,8.4,4.7,3.25
45,18.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,0.0,,13.2,7.1,4.4
46,19.0,0.9473684210526315,0.96,0.9863013698630136,0.9729729729729729,0.381578947368421,0.3035752256229845,12.3,6.65,4.15
47,20.0,0.9605263157894737,0.9594594594594594,1.0,0.9793103448275862,0.02631578947368418,0.10383046632344832,6.9,3.95,2.7
48,21.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,0.0,,12.6,6.8,4.45
49,22.0,0.9736842105263158,0.9722222222222222,1.0,0.9859154929577464,0.2894736842105263,0.32784088668010836,11.2,6.1,4.3
50,23.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,0.0,,14.4,7.7,5.1
51,24.0,1.0,1.0,1.0,1.0,0.03947368421052633,0.23902407697271796,11.4,6.2,3.9
52,25.0,0.9605263157894737,0.9726027397260274,0.9861111111111112,0.9793103448275863,0.07894736842105265,0.20560339591937984,12.5,6.75,4.25
