,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.8801089918256131,0.8801089918256131,1.0,0.936231884057971,1.0,0.0395429343743649,165.6,83.3,14.75,0.96118391457708,1.0
1,3.0,0.9128065395095368,0.9128065395095368,1.0,0.9544159544159544,1.0,0.045356116154469196,200.8,100.9,16.15,0.9001913579175305,1.0
2,4.0,0.9318801089918256,0.9472140762463344,0.9787878787878788,0.96274217585693,1.0,0.12250283305931298,122.1,61.55,14.55,0.9630485521583796,0.9328947368421052
3,5.0,0.9727520435967303,0.9792284866468842,0.990990990990991,0.9850746268656717,1.0,0.11126802942718143,102.6,51.8,13.6,0.8948754489849534,0.8947368421052632
4,6.0,0.9618528610354223,0.9644970414201184,0.9939024390243902,0.978978978978979,1.0,0.12426165586423192,112.7,56.85,13.85,0.9142672307920768,0.9201754385964911
5,7.0,0.9673024523160763,0.9763313609467456,0.9880239520958084,0.9821428571428571,1.0,0.16390796709610103,113.9,57.45,13.1,0.885892771938047,0.9255639097744363
6,8.0,0.989100817438692,0.9911504424778761,0.9970326409495549,0.9940828402366864,1.0,0.11671638030345181,103.3,52.15,13.5,0.6678680936582145,0.9368421052631579
7,9.0,0.9863760217983651,0.9911504424778761,0.9940828402366864,0.9926144756277695,1.0,0.10247489955498963,78.7,39.85,13.15,0.8343282444720309,0.9467836257309943
8,10.0,0.9727520435967303,0.9728915662650602,0.9969135802469136,0.9847560975609757,1.0,0.12906800025774728,80.4,40.7,12.7,0.86757863443185,0.8922076023391814
9,11.0,0.9836512261580381,0.9848484848484849,0.9969325153374233,0.9908536585365855,1.0,0.1755673725285067,68.9,34.95,11.9,0.8822347051275439,0.8629877724614567
10,12.0,0.9918256130790191,0.9911242603550295,1.0,0.9955423476968795,1.0,0.13838497190116844,66.7,33.85,11.3,0.7964912266494371,0.898468899521531
11,13.0,0.9809264305177112,0.9791044776119403,1.0,0.9894419306184012,1.0,0.16538453953520366,50.4,25.7,8.95,0.9282844588731992,0.8189819245082401
12,14.0,0.9700272479564033,0.9849397590361446,0.9819819819819819,0.9834586466165414,1.0,0.1256440593385372,55.3,28.15,10.8,0.91298589696026,0.7332816306500517
13,15.0,0.9836512261580381,0.9820359281437125,1.0,0.9909365558912386,1.0,0.15278778691276929,49.1,25.05,9.25,0.907481969259139,0.6934471668682195
14,16.0,0.9645776566757494,0.9814814814814815,0.9784615384615385,0.9799691833590138,1.0,0.1845564926123716,46.1,23.55,9.8,0.9189245130230362,0.6468640350877193
15,17.0,0.9809264305177112,0.9818731117824774,0.9969325153374233,0.9893455098934552,1.0,0.15851409315998152,44.3,22.65,9.2,0.9233888935030393,0.6454523327549643
16,18.0,0.9863760217983651,0.9939577039274925,0.9909638554216867,0.9924585218702865,1.0,0.17899021717516042,43.6,22.3,8.9,0.8897967192293068,0.6260586545377567
17,19.0,0.9809264305177112,0.9848484848484849,0.9938837920489296,0.9893455098934552,1.0,0.16944434851777138,46.8,23.9,9.7,0.8954359683748266,0.60562539928252
18,20.0,0.989100817438692,0.996996996996997,0.991044776119403,0.9940119760479041,1.0,0.20937959141166668,41.0,21.0,8.75,0.8946419980908606,0.5508534356442536
19,21.0,0.989100817438692,0.9912280701754386,0.9970588235294118,0.9941348973607038,1.0,0.12346835415193302,43.4,22.2,8.85,0.9040228982895218,0.5321088700058474
20,2.0,0.9155313351498637,0.9155313351498637,1.0,0.9559032716927454,1.0,0.07273183166647704,151.0,76.0,14.9,0.9817667304823832,1.0
21,3.0,0.896457765667575,0.9075144508670521,0.98125,0.9429429429429429,1.0,0.019643226267787178,158.1,79.55,16.75,0.9275963304250214,1.0
22,4.0,0.9509536784741145,0.9536231884057971,0.9939577039274925,0.9733727810650888,1.0,0.014666452280639283,148.6,74.8,15.0,0.9241461258264453,1.0
23,5.0,0.9482288828337875,0.9479768786127167,0.9969604863221885,0.9718518518518519,1.0,0.042433267591090985,134.5,67.75,14.85,0.876874721361384,1.0
24,6.0,0.9509536784741145,0.9594202898550724,0.9880597014925373,0.9735294117647059,1.0,0.09675120702136417,95.3,48.15,12.1,0.8602583062202254,1.0
25,7.0,0.9809264305177112,0.9827089337175793,0.9970760233918129,0.9898403483309144,1.0,0.0967988021823442,79.2,40.1,11.7,0.9111597230282075,0.9616541353383459
26,8.0,0.9863760217983651,0.9910979228486647,0.9940476190476191,0.9925705794947994,1.0,0.04602428414738012,73.9,37.45,12.15,0.8569579383063968,0.9606203007518799
27,9.0,0.9945504087193461,0.9939577039274925,1.0,0.996969696969697,1.0,0.18091794345381731,65.7,33.35,10.95,0.6658034016882746,0.8708333333333332
28,10.0,0.9754768392370572,0.973293768545994,1.0,0.9864661654135338,1.0,0.18392406230865227,59.9,30.45,11.0,0.9523267932704936,0.8824561403508773
29,11.0,0.9809264305177112,0.9879518072289156,0.9909365558912386,0.9894419306184011,1.0,0.09947924814560234,56.3,28.65,11.25,0.9490025351759754,0.8575119617224881
30,12.0,0.9945504087193461,0.9939577039274925,1.0,0.996969696969697,1.0,0.14096849659467045,50.0,25.5,9.45,0.9305799684293665,0.8139207868155236
31,13.0,0.9863760217983651,0.9880597014925373,0.9969879518072289,0.9925037481259371,1.0,0.18371181048919638,51.9,26.45,10.0,0.9135674256762446,0.8162233672759989
32,14.0,0.9918256130790191,0.9969325153374233,0.9938837920489296,0.9954058192955589,1.0,0.14639892246787045,50.6,25.8,9.7,0.8116898993956858,0.7848208808735125
33,15.0,0.9863760217983651,0.9938080495356038,0.9907407407407407,0.9922720247295208,1.0,0.08646480968848126,49.4,25.2,10.0,0.8577904280910958,0.7128268223005064
34,16.0,0.9863760217983651,0.9908536585365854,0.9938837920489296,0.9923664122137403,1.0,0.11030718347414309,48.9,24.95,9.35,0.8762900479089568,0.6980222409169777
35,17.0,0.989100817438692,0.9908536585365854,0.9969325153374233,0.9938837920489296,1.0,0.1295600041975082,45.4,23.2,9.15,0.8782396206010454,0.653385036016615
36,18.0,0.9754768392370572,0.9788519637462235,0.9938650306748467,0.9863013698630138,1.0,0.15978363275704263,39.7,20.35,8.3,0.945336358536222,0.5539591355496929
37,19.0,0.997275204359673,1.0,0.9971014492753624,0.9985486211901305,1.0,0.10257266039832723,46.9,23.95,9.75,0.6897615049383156,0.5960646998340497
38,20.0,0.9836512261580381,0.9849397590361446,0.9969512195121951,0.9909090909090911,1.0,0.14561315840370848,49.4,25.2,9.65,0.8967571616661432,0.5941767490787777
39,21.0,0.9918256130790191,0.9940119760479041,0.996996996996997,0.9955022488755623,1.0,0.08936351817120923,49.0,25.0,9.45,0.8816902641029288,0.5980171657412165
40,2.0,0.9100817438692098,0.9100817438692098,1.0,0.9529243937232525,1.0,0.09360295564885814,93.4,47.2,10.9,0.9748977392375827,1.0
41,3.0,0.9645776566757494,0.982089552238806,0.9791666666666666,0.9806259314456036,1.0,0.08152230792829156,119.8,60.4,13.15,0.9436426246610375,1.0
42,4.0,0.9782016348773842,0.9786585365853658,0.9968944099378882,0.9876923076923078,1.0,0.03717368104885279,109.5,55.25,12.25,0.8640497937085123,1.0
43,5.0,0.9645776566757494,0.9651162790697675,0.996996996996997,0.9807976366322009,1.0,0.10635814627636013,81.4,41.2,11.2,0.9185678508641173,0.9463157894736842
44,6.0,0.9673024523160763,0.9759036144578314,0.9878048780487805,0.9818181818181818,1.0,0.13137136641571387,84.9,42.95,12.75,0.9088071611545631,0.968421052631579
