,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.9933774834437086,0.9959183673469387,0.997275204359673,0.9965963240299524,1.0,0.09969411705676012,39.7,20.35,8.05,0.990727780033897,1.0
1,3.0,0.990728476821192,0.9919246298788694,0.9986449864498645,0.9952734638757595,1.0,0.0547424172823005,44.8,22.9,8.75,0.984210756648918,1.0
2,4.0,0.9947019867549669,0.9959404600811907,0.9986431478968792,0.997289972899729,1.0,0.08127400756686495,17.5,9.25,4.8,0.923527609018993,0.7973684210526316
3,5.0,0.9960264900662251,0.9973154362416108,0.9986559139784946,0.9979852249832103,1.0,0.07695171914333765,25.4,13.2,5.95,0.728307497262695,0.8178947368421051
4,6.0,0.9933774834437086,0.9946164199192463,0.9986486486486487,0.9966284558327714,1.0,0.0812106792608453,23.1,12.05,5.65,0.984222286345573,0.7198245614035087
5,2.0,0.9880794701986755,0.9919463087248322,0.9959568733153639,0.9939475453934096,1.0,0.03774251229555109,60.4,30.7,8.85,0.9815389694376067,1.0
6,3.0,0.9973509933774835,1.0,0.9972972972972973,0.9986468200270636,1.0,0.08742316129577829,36.9,18.95,7.45,0.9767463042456008,1.0
7,4.0,0.9960264900662251,0.9986357435197817,0.997275204359673,0.9979550102249488,1.0,0.0806158338434333,18.2,9.6,5.1,0.9907980437879869,0.8307017543859648
8,5.0,0.9960264900662251,0.9973082099596231,0.9986522911051213,0.997979797979798,1.0,0.08402269921020286,21.5,11.25,5.8,0.991353172432242,0.8428947368421053
9,6.0,0.9933774834437086,0.997289972899729,0.9959404600811907,0.9966147596479351,1.0,0.04277840783130473,21.9,11.45,5.25,0.9924109134056137,0.7239473684210526
10,2.0,0.9748344370860927,0.9748344370860927,1.0,0.9872568745808183,1.0,0.021273659450636917,62.9,31.95,10.25,0.9803892935446734,1.0
11,3.0,0.9867549668874173,0.9879356568364611,0.9986449864498645,0.9932614555256066,1.0,0.03157195110705482,68.6,34.8,10.2,0.9867444657948916,1.0
12,4.0,0.9894039735099338,0.9932614555256065,0.995945945945946,0.9946018893387316,1.0,0.07641682429594425,30.5,15.75,6.75,0.9821573937034095,0.9526315789473684
13,5.0,0.9920529801324504,0.9932523616734144,0.9986431478968792,0.9959404600811909,1.0,0.07642234710515991,31.4,16.2,7.1,0.9874563723435453,0.9076315789473683
14,6.0,0.9947019867549669,0.995945945945946,0.9986449864498645,0.9972936400541274,1.0,0.07900601214460981,24.4,12.7,6.25,0.960830392227117,0.7902631578947367
15,2.0,0.9801324503311258,0.9801324503311258,1.0,0.9899665551839464,1.0,0.06922753953853295,134.5,67.75,12.25,0.981635616475166,1.0
16,3.0,0.990728476821192,0.9931693989071039,0.9972565157750343,0.9952087611225188,1.0,0.028557716670136683,74.8,37.9,10.55,0.973276721676023,1.0
17,4.0,0.9973509933774835,0.9986225895316805,0.9986225895316805,0.9986225895316805,1.0,0.06199661481738463,22.0,11.5,5.75,0.39658698687123095,0.8171052631578948
18,5.0,0.9933774834437086,0.9945652173913043,0.9986357435197817,0.9965963240299522,1.0,0.09666397936820209,20.6,10.8,5.4,0.8747316065138481,0.7885964912280701
19,6.0,0.9947019867549669,0.9972972972972973,0.9972972972972973,0.9972972972972973,1.0,0.09672475269680318,23.8,12.4,5.9,0.9872125759588625,0.7573684210526315
20,2.0,0.9801324503311258,0.9850746268656716,0.9945205479452055,0.9897750511247444,1.0,0.1056291148737543,51.9,26.45,9.4,0.9877964209197273,1.0
21,3.0,0.9854304635761589,0.991869918699187,0.9932157394843962,0.9925423728813559,1.0,0.08496800235751455,41.7,21.35,9.6,0.9823897757752441,1.0
22,4.0,0.9682119205298013,0.9682119205298013,1.0,0.9838492597577388,1.0,0.08380468017192509,40.4,20.7,9.1,0.9645426975808179,0.975
23,5.0,0.9960264900662251,0.9959349593495935,1.0,0.9979633401221996,1.0,0.08101027681946958,23.4,12.2,6.25,0.48462984933528047,0.8010526315789471
24,6.0,0.9960264900662251,0.9973118279569892,0.9986541049798116,0.9979825151311366,1.0,0.114880281648264,25.2,13.1,5.8,0.8453261933908264,0.8054385964912282
