,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.06276731686997263,16.8,8.9,4.85,0.9435692772500879,0.95
1,3.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.19496737840252712,13.6,7.3,4.7,0.5441420173924468,0.7824561403508773
2,4.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.42302797592758457,10.0,5.5,3.45,0.931769957844286,0.5324561403508772
3,5.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.07547023718528716,18.0,9.5,5.4,0.8919626115317804,0.7302631578947368
4,6.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.370748199049823,9.0,5.0,3.55,0.9756417692750251,0.4154385964912281
5,7.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.09126888653096091,15.0,8.0,5.1,0.9505498566227921,0.5135839598997494
6,8.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.1242062659073719,16.2,8.6,5.35,0.5244018015192958,0.5162280701754386
7,9.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.15132409228987354,12.9,6.95,4.5,0.5124649930053129,0.3756390977443609
8,10.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.34662565650515664,8.9,4.95,3.05,0.9526126718377042,0.24935463659147866
9,11.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.20587998022488296,16.0,8.5,5.2,0.2453024187159771,0.41129300524037365
10,12.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.17348732832537317,15.5,8.25,5.05,0.5905061480073228,0.3296126680337207
11,13.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.17966684320298842,14.1,7.55,4.3,0.9194982591096139,0.27066074276600594
12,14.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.3796639698523446,9.4,5.2,3.35,0.8902138536181532,0.20238930659983292
13,15.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.25342674888546796,14.8,7.9,4.3,0.5968707833222737,0.29007261744103846
14,16.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.6526839191264602,8.4,4.7,3.2,0.9762102661277359,0.17365914786967418
15,17.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.3848081707859938,12.5,6.75,4.25,0.4045433329575043,0.20592813619129408
16,18.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.22193401429154744,12.3,6.65,4.15,0.5732318188558368,0.19026498355445726
17,19.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.3837681850535377,10.2,5.6,3.6,0.949419426570653,0.1470745044429255
18,20.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.41737992272195856,7.6,4.3,2.8,0.4211060496696948,0.12951754385964911
19,21.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.3246051220321832,12.0,6.5,4.05,0.9658903738236829,0.17610807321333638
20,22.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.33226863956586206,9.1,5.05,3.4,0.943803175016589,0.15849686862844758
21,23.0,0.9736842105263158,0.9733333333333334,1.0,0.9864864864864865,1.0,0.2670856459885898,10.7,5.85,3.8,0.6590647042938621,0.13341199735936576
22,24.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,1.0,0.3941205556184538,10.5,5.75,4.1,0.6552871229455053,0.11930868838763574
23,25.0,0.9868421052631579,0.9868421052631579,1.0,0.9933774834437086,1.0,0.2603954536429458,9.4,5.2,3.3,0.6600868083509407,0.13023391812865498
24,26.0,0.9868421052631579,0.9866666666666667,1.0,0.9932885906040269,1.0,0.36552595297841506,9.5,5.25,3.35,-0.1331217484159138,0.1150375939849624
25,27.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.30394503910812526,11.1,6.05,3.75,0.6484602401519727,0.12481051112630058
26,28.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.4591452134581928,10.7,5.85,3.85,0.5665735354229002,0.12662907268170426
27,29.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.4305169267200832,8.8,4.9,3.35,0.35882568053771274,0.10752088554720132
28,30.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.4557890305646972,10.2,5.6,3.7,-0.19524113992796438,0.11272746259588363
29,2.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.14944388139626,24.6,12.8,7.4,0.6626592986416419,1.0
30,3.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.07006608159716297,23.5,12.25,6.1,0.9408290165864193,1.0
31,4.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.1838476686814471,19.2,10.1,5.3,0.8963808643106755,0.7846491228070175
32,5.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.063683926427807,23.4,12.2,6.6,0.07125715710729688,0.8221052631578947
33,6.0,0.8947368421052632,0.8947368421052632,1.0,0.9444444444444444,1.0,0.06495414185752328,14.8,7.9,5.25,0.9027220115712635,0.5693859649122808
34,7.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.26738159419792656,14.4,7.7,4.95,-0.12761935740344646,0.5392355889724311
35,8.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.16743526946567974,13.7,7.35,4.85,0.7795694128492073,0.39561403508771925
36,9.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.16547705478864785,12.4,6.7,4.5,0.9165441276616617,0.33016081871345027
37,10.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.25062828797924624,13.9,7.45,4.25,0.38111074922949806,0.40598579782790306
38,11.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.21864919312920642,12.2,6.6,4.2,0.9544555996941946,0.28874306979570136
39,12.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.3223119990648423,13.3,7.15,4.75,0.8307847606211313,0.2820887445887446
40,13.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.38826613725132875,9.2,5.1,3.75,0.24136939783528547,0.26040726817042603
41,14.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.29279530165623174,10.1,5.55,3.95,0.6072833272972096,0.21008145363408517
42,15.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.22914913047197127,11.0,6.0,4.2,0.6833126521505336,0.2012614870509607
43,16.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.3023863059457212,11.4,6.2,3.9,0.5836692788189921,0.18615914786967416
44,17.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.27515207459805824,12.6,6.8,4.3,0.7254443065435501,0.20843203580045686
45,18.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.34642937589243816,10.9,5.95,3.55,0.9502913686989124,0.17144034328244853
46,19.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.27834047419250085,12.8,6.9,4.2,0.4283506022012016,0.2584327222485117
47,20.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.29870290872011973,11.1,6.05,4.05,0.4532607836995824,0.17145078605604921
48,21.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.31139695836246345,12.8,6.9,4.55,-0.04829708933310041,0.1817055167055167
49,22.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.33011856606040996,13.1,7.05,4.55,0.3791307683148676,0.1680894105894106
