,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.9999911894273128,1.0,0.9999911534174348,0.9999955766891518,1.0,0.08964107964204265,16.5,8.75,4.75,0.999995270082559,0.95
1,3.0,0.9999735682819383,0.9999823080869734,0.9999911539652351,0.9999867310065416,1.0,0.1926704276253831,25.8,13.4,6.7,0.9999791599468091,0.9666666666666666
2,2.0,0.9999647577092511,0.9999734672940177,0.9999911556082288,0.9999823113729027,1.0,0.16910819550188377,16.1,8.55,4.75,0.9999950922011194,1.0
3,3.0,0.9999647577092511,0.9999734642430675,0.9999911545912095,0.9999823093389,1.0,0.18941359160283078,16.9,8.95,5.05,0.9999762548366754,0.8149122807017545
4,2.0,0.9999735682819383,0.9999823123115156,0.9999911560775435,0.9999867341749762,1.0,0.16885723168917005,15.5,8.25,4.85,0.9999962746532018,0.9052631578947369
5,3.0,0.9999647577092511,0.9999646205554573,1.0,0.9999823099647969,1.0,0.15203554342792494,18.5,9.75,4.85,0.9999937888500396,0.8736842105263158
6,2.0,0.9999911894273128,1.0,0.9999911582670203,0.999995579113966,1.0,0.13385941095524462,16.7,8.85,5.05,0.9999938788626925,0.95
7,3.0,0.9999911894273128,0.9999911562339707,1.0,0.9999955780974322,1.0,0.14101436652858307,31.1,16.05,6.35,0.2368418270296439,0.9666666666666668
8,2.0,0.9999823788546256,0.9999823138756488,1.0,0.999991156859624,1.0,0.23466336609794827,15.6,8.3,4.65,0.9789472756743689,1.0
9,3.0,0.9999823788546256,0.9999823060522148,1.0,0.9999911529478378,1.0,0.0903986912426958,28.7,14.85,6.1,0.3157704845645712,1.0
