,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.9999809265864312,1.0,0.999978840904763,0.9999894203404535,1.0,1.886921783710323,65.8,33.4,9.15,0.9989666491494883,1.0
1,3.0,0.9999618531728623,0.9999788211872842,0.9999788211872842,0.9999788211872842,1.0,1.3260608317037779,141.2,71.1,13.35,0.695918967730851,1.0
2,4.0,1.0,1.0,1.0,1.0,1.0,2.125149526626927,13.2,7.1,3.6,-0.06842105263157895,0.6157894736842106
3,2.0,0.9999237063457247,0.999957658515931,0.999957658515931,0.999957658515931,1.0,1.883714667552936,61.9,31.45,8.7,0.6621366840862771,1.0
4,3.0,0.9999809265864312,1.0,0.9999788009836343,0.9999894003794664,1.0,2.289237688643632,17.8,9.4,4.25,0.37364756918366443,0.8473684210526315
5,4.0,1.0,1.0,1.0,1.0,1.0,2.3337651722645636,9.7,5.35,3.05,-0.12105490697139216,0.5855263157894737
6,2.0,1.0,1.0,1.0,1.0,1.0,0.9982620664937185,22.2,11.6,4.95,-0.2947388499095986,1.0
7,3.0,1.0,1.0,1.0,1.0,1.0,2.2902585345537387,18.1,9.55,4.5,-0.19473764523465706,0.8473684210526315
8,4.0,0.9999809265864312,1.0,0.9999788462758868,0.9999894230260723,1.0,1.9075154807355725,9.7,5.35,2.8,0.16842105263157894,0.6894736842105263
9,2.0,0.9999618531728623,1.0,0.9999576844955992,0.9999788418001397,1.0,1.7740646231489061,66.3,33.65,9.25,0.5510654633806783,1.0
10,3.0,0.9999618531728623,1.0,0.9999575776858628,0.9999787883930086,1.0,1.8570368309911975,92.7,46.85,10.0,0.5652277537445375,1.0
11,4.0,1.0,1.0,1.0,1.0,1.0,1.9297364207266863,9.4,5.2,3.0,-0.010526918130774318,0.6039473684210527
12,2.0,0.9849129298670584,0.9943155205450287,0.9889046519999153,0.9916027049693728,1.0,0.6362158298956653,3362.5,1681.75,39.15,0.9879564515083246,1.0
13,3.0,1.0,1.0,1.0,1.0,1.0,1.3505732135883974,148.5,74.75,12.05,-0.020322330477232205,1.0
14,4.0,0.9999809265864312,1.0,0.9999787748864456,0.9999893873305952,1.0,2.096994369807975,9.4,5.2,2.9,0.2526275966915648,0.5706140350877192
