,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.9730713245997089,0.9730713245997089,1.0,0.9863518996680192,1.0,0.13344911294203465,144.1,72.55,19.2,0.9901547383800998,1.0
1,3.0,0.975254730713246,0.975254730713246,1.0,0.9874723655121591,1.0,0.10062155573755803,157.5,79.25,17.3,0.972983295954134,1.0
2,4.0,0.9796215429403202,0.9823269513991163,0.9970104633781763,0.9896142433234422,1.0,0.26734263575296113,108.3,54.65,13.6,0.9801288896615535,1.0
3,5.0,0.9868995633187773,0.9896219421793921,0.9970126960418223,0.9933035714285714,1.0,0.24571952001968325,116.2,58.6,14.05,0.9616601842070286,1.0
4,6.0,0.9847161572052402,0.9853157121879589,0.9992553983618764,0.9922365988909426,1.0,0.36107450620734416,77.3,39.15,11.9,0.9789643328452724,1.0
5,7.0,0.9890829694323144,0.9897058823529412,0.9992576095025983,0.9944588104913188,1.0,0.3774286685524447,89.6,45.3,13.0,0.9756776618673203,1.0
6,8.0,0.9956331877729258,0.9962935507783544,0.9992565055762082,0.9977728285077951,1.0,0.23950708709584567,57.2,29.1,9.15,0.9279779774496382,0.9625
7,9.0,1.0,1.0,1.0,1.0,1.0,0.39140048128537835,39.3,20.15,7.35,-0.051294235080601894,0.8491019214703425
8,10.0,0.9992721979621543,1.0,0.9992542878448919,0.999627004848937,1.0,0.5208271004989513,40.1,20.55,7.4,0.21583240611609,0.8397660818713453
9,11.0,0.9970887918486172,0.9970171513795675,1.0,0.9985063480209111,1.0,0.31165559610648996,44.6,22.8,7.85,0.9740421025355936,0.8302764486975012
10,12.0,0.99490538573508,0.9947877885331348,1.0,0.9973870847331093,1.0,0.39874039778608117,35.6,18.3,7.25,0.9569271311832903,0.688912812333865
11,13.0,0.9985443959243085,0.9985207100591716,1.0,0.999259807549963,1.0,0.5014034967946579,36.7,18.85,7.15,0.964042661327471,0.6701337259231995
12,14.0,0.9978165938864629,0.997779422649889,1.0,0.9988884772137829,1.0,0.3629984463568556,37.2,19.1,7.55,0.9694584095131177,0.6025049511891617
13,15.0,0.9985443959243085,0.9985085756897838,1.0,0.9992537313432837,1.0,0.33386838716351014,42.4,21.7,7.0,0.5788597322963352,0.6224123245175877
14,16.0,0.9978165938864629,0.9977628635346756,1.0,0.9988801791713325,1.0,0.3914318847612639,35.5,18.25,7.0,0.5450955970660788,0.4888534491823965
15,2.0,0.9788937409024745,0.9788937409024745,1.0,0.989334314086061,1.0,0.1559387130153636,176.4,88.7,18.75,0.9840777174063934,1.0
16,3.0,0.9905385735080058,0.9911242603550295,0.9992542878448919,0.9951726698848867,1.0,0.20343674982714807,107.8,54.4,12.4,0.9739084780965898,1.0
17,4.0,0.9912663755458515,0.9933184855233853,0.9977628635346756,0.9955357142857142,1.0,0.3035534537938609,93.4,47.2,11.95,0.9730608658641798,1.0
18,5.0,0.99490538573508,0.9970171513795675,0.9977611940298508,0.9973890339425587,1.0,0.2307256896646871,51.3,26.15,8.85,0.9703600508427795,1.0
19,6.0,0.9963609898107715,0.9963045084996305,1.0,0.9981488337652722,1.0,0.274047553955848,52.4,26.7,8.7,0.9765620332163631,0.9833333333333333
20,7.0,0.9963609898107715,0.9970457902511078,0.999259807549963,0.9981515711645101,1.0,0.3286963066453663,56.1,28.55,9.4,0.9121941910917188,0.9586466165413534
21,8.0,0.9963609898107715,0.9962908011869436,1.0,0.9981419546636938,1.0,0.4085071669550118,63.1,32.05,9.5,0.91967690616737,0.975
22,9.0,0.9941775836972343,0.9947877885331348,0.9992520568436799,0.9970149253731343,1.0,0.4207760043537146,49.8,25.4,8.2,0.969006461428197,0.8595760233918129
23,10.0,0.9992721979621543,0.999259807549963,1.0,0.9996297667530545,1.0,0.319419654229378,44.0,22.5,8.15,0.9730029650427124,0.8367251461988306
24,11.0,0.9978165938864629,0.9977678571428571,1.0,0.9988826815642458,1.0,0.20346665940633762,42.6,21.8,7.55,0.8365082835488001,0.7560499734183944
25,12.0,0.9970887918486172,0.9970479704797048,1.0,0.9985218033998522,1.0,0.4509039188023547,48.1,24.55,8.1,0.9428684386035552,0.7727830940988838
26,13.0,0.9963609898107715,0.9962962962962963,1.0,0.9981447124304267,1.0,0.42395867932691245,37.4,19.2,7.2,0.8674402761853565,0.7039359178832862
27,14.0,1.0,1.0,1.0,1.0,1.0,0.36598106865396934,39.1,20.05,6.95,0.034873912734225916,0.5766223250433777
28,15.0,0.9978165938864629,0.9977695167286246,1.0,0.9988835132117603,1.0,0.5971504399519892,31.1,16.05,6.45,0.9344771055945138,0.4879030034293193
29,16.0,0.9985443959243085,0.9985107967237528,1.0,0.9992548435171386,1.0,0.35436323322351665,34.9,17.95,6.8,0.9681336637651733,0.5521703734861629
30,2.0,0.9810771470160117,0.9810771470160117,1.0,0.9904481998530492,1.0,0.21657827034000307,150.5,75.75,16.75,0.9864126755327791,1.0
31,3.0,0.9810771470160117,0.9810771470160117,1.0,0.9904481998530492,1.0,0.12823225270370284,178.8,89.9,20.15,0.9831661714385228,1.0
32,4.0,0.9854439592430859,0.986822840409956,0.9985185185185185,0.9926362297496318,1.0,0.1541608291759107,125.2,63.1,16.2,0.9655952734767617,1.0
33,5.0,0.9810771470160117,0.9816041206769683,0.9992509363295881,0.9903489235337788,1.0,0.15221094665417056,103.0,52.0,12.0,0.9765137865992057,1.0
34,6.0,0.9883551673944687,0.9882611885546588,1.0,0.9940959409594096,1.0,0.21721558199912186,101.2,51.1,11.2,0.9751688315453313,1.0
35,7.0,0.9934497816593887,0.9941089837997055,0.999259807549963,0.9966777408637874,1.0,0.33111608614365395,68.9,34.95,10.1,0.9769081015987309,0.9714285714285715
36,8.0,0.99490538573508,0.9955588452997779,0.9992570579494799,0.9974045235446792,1.0,0.3070076276587307,71.0,36.0,10.2,0.9633198437373991,1.0
37,9.0,0.9978165938864629,0.9977728285077951,1.0,0.9988851727982163,1.0,0.4835278806527635,37.7,19.35,6.9,0.5840338021939161,0.7791771094402673
38,10.0,0.9992721979621543,0.999259807549963,1.0,0.9996297667530545,1.0,0.2769939674208946,40.7,20.85,7.05,0.5714876243476256,0.8052923976608188
39,11.0,0.9963609898107715,0.9962825278810409,1.0,0.9981378026070763,1.0,0.5236484776113108,48.5,24.75,7.65,0.8907677137865336,0.7719723551302498
40,12.0,0.9970887918486172,0.997037037037037,1.0,0.9985163204747775,1.0,0.2740986878271403,38.9,19.95,7.15,0.9710718034068878,0.691839447102605
41,13.0,0.99490538573508,0.9948186528497409,1.0,0.9974025974025974,1.0,0.35826731602032386,41.9,21.45,7.25,0.9703933933733364,0.7139060646955383
42,14.0,0.9992721979621543,0.9992559523809523,1.0,0.9996278377372534,1.0,0.4695825963495763,39.0,20.0,7.0,0.7596869622365372,0.6165091925618242
43,15.0,1.0,1.0,1.0,1.0,1.0,0.552333409886814,39.5,20.25,7.6,-0.15664231413649393,0.6158752650857914
44,16.0,1.0,1.0,1.0,1.0,1.0,0.5516466831557658,32.2,16.6,6.4,-0.010243161548630222,0.49265917561970196
45,2.0,0.9767103347889374,0.9767103347889374,1.0,0.9882179675994109,1.0,0.021173236459459975,220.8,110.9,18.4,0.9719807972458316,1.0
46,3.0,0.9745269286754003,0.9745269286754003,1.0,0.9870991522300038,1.0,0.35644476552323134,163.0,82.0,15.5,0.9697952582282501,1.0
47,4.0,0.982532751091703,0.9851851851851852,0.9970014992503748,0.9910581222056632,1.0,0.33931513303310445,88.7,44.85,11.85,0.9802588657060788,1.0
48,5.0,0.9912663755458515,0.9911439114391144,1.0,0.9955522609340252,1.0,0.3860711236002237,95.6,48.3,12.3,0.9672304257941433,1.0
49,6.0,0.992721979621543,0.9940652818991098,0.9985096870342772,0.9962825278810409,1.0,0.39123813623383974,81.7,41.35,11.95,0.9540664683166173,1.0
50,7.0,0.9956331877729258,0.9970348406226834,0.9985152190051967,0.9977744807121661,1.0,0.4745958453729482,47.7,24.35,7.95,0.913325464253128,0.9616541353383459
51,8.0,0.9956331877729258,0.9955489614243324,1.0,0.9977695167286245,1.0,0.2892402852675721,61.9,31.45,9.55,0.9453175965271234,0.9578947368421052
52,9.0,0.9941775836972343,0.9940740740740741,1.0,0.9970282317979198,1.0,0.2775063236174626,47.9,24.45,8.25,0.9580698124325723,0.8649122807017543
53,10.0,0.9956331877729258,0.9955323901712584,1.0,0.9977611940298508,1.0,0.34908261830320597,51.3,26.15,7.95,0.8492808392601031,0.8180994152046785
54,11.0,0.9898107714701602,0.9896296296296296,1.0,0.9947877885331348,1.0,0.45108347286053935,47.5,24.25,8.75,0.9205131324956991,0.8095959595959596
55,12.0,0.9992721979621543,0.9992581602373887,1.0,0.9996289424860854,1.0,0.4219399260510216,47.6,24.3,8.25,0.6964883060098088,0.8220494417862841
56,13.0,0.9978165938864629,0.9977695167286246,1.0,0.9988835132117603,1.0,0.11272321892794399,53.3,27.15,8.75,0.7683010451408393,0.7493865783339467
57,14.0,0.9985443959243085,0.9985130111524163,1.0,0.9992559523809523,1.0,0.4166316954387164,48.0,24.5,8.25,0.5594466730443775,0.7110858439805808
58,15.0,0.9985443959243085,0.9985141158989599,1.0,0.9992565055762082,1.0,0.17604634645618647,43.8,22.4,7.95,0.892678300875678,0.6633434986066565
59,16.0,0.9992721979621543,0.9992526158445441,1.0,0.9996261682242991,1.0,0.47576731060311506,34.2,17.6,6.85,0.21338684266896032,0.5287416968995917
60,2.0,0.9788937409024745,0.9788937409024745,1.0,0.989334314086061,1.0,0.022588239318266003,213.0,107.0,19.45,0.9752621903656625,1.0
61,3.0,0.9774381368267832,0.9774381368267832,1.0,0.9885903570114097,1.0,0.039565249374421976,205.7,103.35,20.8,0.9719104879643699,1.0
62,4.0,0.9912663755458515,0.9940784603997039,0.9970304380103935,0.9955522609340252,1.0,0.22341283744437856,75.8,38.4,10.45,0.9761859414209609,1.0
63,5.0,0.9941775836972343,0.9948032665181886,0.9992542878448919,0.9970238095238095,1.0,0.39875515872208017,63.9,32.45,10.45,0.9485499459958479,1.0
64,6.0,0.9941775836972343,0.9955621301775148,0.9985163204747775,0.9970370370370369,1.0,0.31649324664781786,80.7,40.85,12.1,0.9630226937157004,0.968421052631579
65,7.0,1.0,1.0,1.0,1.0,1.0,0.39033901011755223,54.2,27.6,8.9,0.4998317010866002,0.9330827067669174
66,8.0,1.0,1.0,1.0,1.0,1.0,0.40215391335450223,34.6,17.8,7.0,-0.15151627890471206,0.862406015037594
67,9.0,0.9963609898107715,0.9970260223048327,0.9992548435171386,0.9981391886862672,1.0,0.5379302156913773,28.2,14.6,6.15,0.9869545873004648,0.706798245614035
