,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.9939707149009475,0.9947735191637631,0.9991251093613298,0.9969445656918375,1.0,0.24809743558349476,43.8,22.4,8.85,0.9970392768639438,1.0
1,3.0,0.9982773471145564,0.9982547993019197,1.0,0.9991266375545852,1.0,0.3643382496293578,25.6,13.3,6.4,0.9970076393800911,1.0
2,4.0,0.9974160206718347,1.0,0.9973799126637555,0.9986882378662003,1.0,0.21819767880202828,31.8,16.4,8.5,0.5629941881807261,1.0
3,5.0,0.9982773471145564,0.9982547993019197,1.0,0.9991266375545852,1.0,0.183001668851074,32.4,16.7,8.9,0.7811351490151803,0.908421052631579
4,6.0,0.9982773471145564,1.0,0.9982593559617058,0.9991289198606271,1.0,0.1967778967741558,23.8,12.4,7.05,0.6927802353508082,0.7814035087719299
5,7.0,0.9991386735572783,0.9991273996509599,1.0,0.9995635093845482,1.0,0.20479945970314153,19.4,10.2,6.2,0.9965574919425139,0.5986591478696742
6,8.0,0.9819121447028424,0.9819121447028424,1.0,0.9908735332464146,1.0,0.17087963681491097,22.4,11.7,7.35,0.9931688251658816,0.5425814536340852
7,9.0,0.9974160206718347,1.0,0.997384481255449,0.9986905281536447,1.0,0.21955571061034768,23.5,12.25,7.55,0.7743450594284044,0.5692606516290727
8,10.0,0.9982773471145564,0.999128160418483,0.999128160418483,0.999128160418483,1.0,0.4934214585803833,19.8,10.4,5.95,0.9967106877118439,0.5092731829573934
9,11.0,0.9965546942291128,0.9965156794425087,1.0,0.9982547993019197,1.0,0.43134144210354414,10.6,5.8,3.9,0.998687514560922,0.3119089390142022
10,12.0,0.9948320413436692,0.9965034965034965,0.9982486865148862,0.9973753280839894,1.0,0.5401887565905982,12.5,6.75,4.2,0.995972630916997,0.32440134426976536
11,13.0,0.9991386735572783,1.0,0.9991304347826087,0.9995650282731622,1.0,0.16169698781292383,27.0,14.0,7.3,-0.017780430886326234,0.49191469349364086
12,14.0,1.0,1.0,1.0,1.0,1.0,0.17311089087538653,25.8,13.4,7.4,-0.3324182229112836,0.44877888193677673
13,15.0,0.9974160206718347,0.9973913043478261,1.0,0.9986939486286461,1.0,0.3346752634896458,16.5,8.75,4.95,0.9973606152609599,0.28587535271745795
14,16.0,0.9844961240310077,0.9844961240310077,1.0,0.9921875,1.0,0.19185580660180987,21.8,11.4,6.85,0.5151354938081226,0.3566067850278376
15,17.0,0.9974160206718347,0.9973958333333334,1.0,0.998696219035202,1.0,0.16943140074368496,22.1,11.55,7.2,0.9928932205159562,0.32223270150901734
16,18.0,0.9991386735572783,0.9991273996509599,1.0,0.9995635093845482,1.0,0.19149947559158007,22.0,11.5,7.4,0.9915285988275868,0.31710612830581875
17,19.0,0.9956933677863911,0.9956597222222222,1.0,0.9978251413658111,1.0,0.4259103904909013,17.3,9.15,5.65,0.993867368888627,0.24310709758078178
18,20.0,0.9974160206718347,0.999124343257443,0.9982502187226596,0.9986870897155361,1.0,0.3910620024989846,19.8,10.4,6.2,0.9908472678836113,0.2623906064695538
19,21.0,0.9965546942291128,0.9991251093613298,0.9973799126637555,0.9982517482517483,1.0,0.20367045134798226,24.9,12.95,6.95,0.9904764284780367,0.3026007513434188
20,22.0,0.9991386735572783,1.0,0.9991304347826087,0.9995650282731622,1.0,0.16482869193965619,20.5,10.75,6.9,0.21261588432859538,0.2574123348271955
21,23.0,0.9982773471145564,0.9982502187226596,1.0,0.999124343257443,1.0,0.3041941117823884,13.3,7.15,4.65,0.9961609770914003,0.17983240443766757
22,24.0,0.9982773471145564,0.9982578397212544,1.0,0.999128160418483,1.0,0.44165822557062134,14.2,7.6,5.0,0.998093484043109,0.1834051182735393
23,25.0,0.9982773471145564,0.998256320836966,1.0,0.99912739965096,1.0,0.3502658910295166,16.1,8.55,5.25,0.7839330679368136,0.19326592997645628
24,26.0,0.9974160206718347,0.9973867595818815,1.0,0.9986916703009158,1.0,0.5797955169206004,15.5,8.25,5.45,0.7998192641876878,0.17351345312482677
25,27.0,0.9991386735572783,0.999128160418483,1.0,0.9995638901003052,1.0,0.4860438182543958,16.9,8.95,5.65,0.9911901345427377,0.1765643274853801
26,28.0,0.9956933677863911,0.9956559513466551,1.0,0.9978232477144101,1.0,0.5847117984012856,14.9,7.95,5.2,0.9729547163624539,0.16008005582308987
27,29.0,0.9982773471145564,0.9982638888888888,1.0,0.999131190269331,1.0,0.4191640822478008,18.8,9.9,5.95,0.9926587949985346,0.18739651215657407
28,30.0,0.9974160206718347,0.9973867595818815,1.0,0.9986916703009158,1.0,0.6738572052964029,12.4,6.7,4.4,0.999488691899466,0.12578217104532893
29,31.0,0.9991386735572783,0.9991289198606271,1.0,0.9995642701525055,1.0,0.35194924453793197,19.7,10.35,6.5,0.9900871252641967,0.18942901258935152
30,32.0,0.9974160206718347,0.9982502187226596,0.999124343257443,0.9986870897155361,1.0,0.525853747053997,15.7,8.35,5.45,0.9905228398127893,0.16452723446144496
31,33.0,0.9991386735572783,0.9991251093613298,1.0,0.999562363238512,1.0,0.3968926890749015,19.2,10.1,6.6,0.9874640748118476,0.16016234340497007
32,34.0,0.9982773471145564,0.9982608695652174,1.0,0.999129677980853,1.0,0.39662332693806257,14.3,7.65,4.75,0.9952427137248797,0.13118831460936722
33,35.0,0.9879414298018949,0.9879414298018949,1.0,0.9939341421143848,1.0,0.46283852844652984,15.1,8.05,5.1,0.9961428519456607,0.11901291001197306
34,36.0,1.0,1.0,1.0,1.0,1.0,0.542340263220387,13.7,7.35,5.0,-0.32293512385297235,0.11439870071449018
