,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard
0,2.0,0.9742362525458248,0.9783005693414975,0.9944310984931207,0.986299886283641,1.0,0.0014690866106749185,449.1,225.05,16.8,0.9994947054372737,1.0
1,3.0,0.9632382892057026,0.9733737417469424,0.9873737373737373,0.9803237586526409,1.0,0.0060109686743487585,1574.6,787.8,27.55,0.991591944784516,1.0
2,4.0,0.9994908350305499,0.9994510923262707,1.0,0.9997254708175479,1.0,0.0051716340306003266,62.7,31.85,10.6,0.9544097246642459,0.975
3,5.0,0.99979633401222,1.0,0.9997806055287407,0.9998902907295666,1.0,0.023383403286642138,36.5,18.75,8.35,0.7034879743775135,0.9600000000000001
4,6.0,0.99989816700611,0.9998906147451324,1.0,0.9999453043811192,1.0,0.008376493505698562,42.1,21.55,10.05,0.14579310130054948,0.8535964912280702
5,7.0,0.99979633401222,0.9998904949627683,0.9998904949627683,0.9998904949627683,1.0,0.021538673447040833,46.7,23.85,10.0,0.3569318948574348,0.8634335839598997
6,8.0,0.99989816700611,1.0,0.9998905309250137,0.9999452624664733,1.0,0.01115777983816613,49.8,25.4,10.25,0.5667001893977126,0.8340852130325814
7,9.0,0.9993890020366599,0.9995612110574813,0.999780557384244,0.9996708721887,1.0,0.02065307383368685,29.7,15.35,7.65,0.9245572273252495,0.6707957393483709
8,2.0,0.9304480651731161,0.9326004315216274,0.9970342706502636,0.9637415724372246,1.0,0.0004624026753719504,418.7,209.85,15.7,0.9997976978555332,1.0
9,3.0,0.929735234215886,0.9377331123083299,0.9902625820568928,0.9632822477650064,1.0,0.002315494203848675,1946.8,973.9,26.8,0.9966593039676171,1.0
10,4.0,0.9317718940936863,0.9448421052631579,0.9839947379960535,0.9640210503705297,1.0,0.0025647733276923565,3337.2,1669.1,32.1,0.980376514908499,1.0
11,5.0,0.9991853360488798,0.9995615477364902,0.9995615477364902,0.9995615477364902,1.0,0.007520717902341387,68.3,34.65,10.75,0.9754240899702866,0.98
12,6.0,0.9995926680244399,0.999890049477735,0.9996702209519622,0.9997801231310467,1.0,0.01698593158494134,51.0,26.0,9.15,0.9870653357663591,0.8949122807017542
13,7.0,0.9996945010183299,1.0,0.9996718442353971,0.9998358951917291,1.0,0.017730680517127343,56.9,28.95,11.5,0.714583805170169,0.8508771929824562
14,8.0,0.99979633401222,1.0,0.9997795171425422,0.9998897464167585,1.0,0.01866138208271376,49.6,25.3,10.75,0.34586831900946996,0.8264411027568922
15,9.0,0.99989816700611,0.9998900373872883,1.0,0.9999450156705338,1.0,0.025419661686260073,34.4,17.7,8.2,0.5362487989753522,0.7461382623224728
16,2.0,0.9957230142566191,0.995529873528129,0.9998904949627683,0.9977054195804196,1.0,0.09312403914387386,191.3,96.15,15.7,0.9999644933657464,1.0
