,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,1.0,1.0,1.0,1.0,1.0,0.1289996752612965,14.4,7.7,5.5,-0.005263157894736842,1.0,0.8156606851549756
1,3.0,1.0,1.0,1.0,1.0,1.0,0.1950231881107245,22.0,11.5,7.4,-0.29514143027265033,0.9666666666666666,1.531810766721044
2,4.0,1.0,1.0,1.0,1.0,1.0,0.3143920229246621,4.5,2.75,1.75,0.07894736842105263,0.6236842105263158,1.9755301794453508
3,5.0,1.0,1.0,1.0,1.0,1.0,0.3046909346221898,7.0,4.0,2.75,-0.02108708760444483,0.4729824561403509,2.7128874388254487
4,6.0,1.0,1.0,1.0,1.0,1.0,0.3234706817004198,6.9,3.95,2.75,-0.005329623545081558,0.46710526315789475,4.00978792822186
5,7.0,1.0,1.0,1.0,1.0,1.0,0.2800759061349595,7.9,4.45,2.9,0.021052631578947368,0.38127819548872177,4.593800978792822
6,8.0,1.0,1.0,1.0,1.0,1.0,0.0,10.7,5.85,4.05,-0.021257357331741025,0.3519548872180451,8.0
7,9.0,1.0,1.0,1.0,1.0,1.0,0.3108956705903722,6.2,3.6,2.45,-0.005263157894736842,0.4547619047619047,6.763458401305057
8,10.0,1.0,1.0,1.0,1.0,1.0,0.43244934826754156,6.2,3.6,2.45,0.0,0.4595614035087719,7.557911908646004
9,11.0,1.0,1.0,1.0,1.0,1.0,0.3917268901992359,5.2,3.1,2.0,0.0,0.2546198830409357,9.0
10,12.0,1.0,1.0,1.0,1.0,1.0,0.45582159650680915,5.2,3.1,1.9,0.0,0.27668546365914787,9.34584013050571
11,13.0,1.0,1.0,1.0,1.0,1.0,0.27915923380028496,5.1,3.05,2.05,0.0,0.2355263157894737,10.977161500815662
12,14.0,1.0,1.0,1.0,1.0,1.0,0.38081985088125236,5.1,3.05,1.9,-0.005263157894736842,0.185609857978279,11.99184339314845
13,15.0,1.0,1.0,1.0,1.0,1.0,0.0,5.1,3.05,2.05,0.0,0.20147243107769425,15.0
14,16.0,1.0,1.0,1.0,1.0,1.0,0.4972472375862104,4.0,2.5,1.4,0.0,0.22035087719298246,12.99021207177814
15,17.0,1.0,1.0,1.0,1.0,1.0,0.19883795034917948,4.4,2.7,1.6,0.0,0.20991228070175438,15.98858075040783
16,18.0,1.0,1.0,1.0,1.0,1.0,0.48793850331554156,3.7,2.35,1.3,0.0,0.2868421052631579,14.9836867862969
17,19.0,1.0,1.0,1.0,1.0,1.0,0.48336630626995064,4.6,2.8,1.75,0.0,0.175,15.936378466557912
18,20.0,1.0,1.0,1.0,1.0,1.0,0.5295603940947397,4.4,2.7,1.7,0.0,0.17929824561403507,16.849918433931485
19,21.0,1.0,1.0,1.0,1.0,1.0,0.5588762325976983,5.5,3.25,2.05,0.0,0.16540347079820764,16.845024469820554
20,22.0,1.0,1.0,1.0,1.0,1.0,0.5630120566985418,5.3,3.15,2.0,0.0,0.18634502923976606,17.93964110929853
21,23.0,1.0,1.0,1.0,1.0,1.0,0.4020678553257378,4.3,2.65,1.6,0.0,0.20280701754385963,19.70799347471452
22,24.0,1.0,1.0,1.0,1.0,1.0,0.49584370944287054,5.2,3.1,1.9,0.0,0.160515873015873,19.89885807504078
23,25.0,1.0,1.0,1.0,1.0,1.0,0.27702542087043835,4.6,2.8,1.75,0.0,0.23456140350877192,22.97226753670473
24,26.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,3.0,1.95,0.0,0.14058270676691728,26.0
25,27.0,1.0,1.0,1.0,1.0,1.0,0.40518980551072414,3.6,2.3,1.25,0.0,0.23122807017543862,25.0
26,28.0,1.0,1.0,1.0,1.0,1.0,0.6986836829372033,3.9,2.45,1.45,0.0,0.15035087719298248,22.846655791190866
27,29.0,1.0,1.0,1.0,1.0,1.0,0.1896667622845117,4.8,2.9,1.85,0.0,0.18622180451127818,27.99347471451876
28,30.0,1.0,1.0,1.0,1.0,1.0,0.630662326818104,4.5,2.75,1.6,0.0,0.12828947368421054,24.98042414355628
29,31.0,1.0,1.0,1.0,1.0,1.0,0.618485032464914,3.6,2.3,1.3,0.0,0.13596491228070176,25.97879282218597
30,32.0,1.0,1.0,1.0,1.0,1.0,0.5844732321395624,4.7,2.85,1.8,0.0,0.10487468671679197,26.905383360522023
31,33.0,1.0,1.0,1.0,1.0,1.0,0.7520093600106009,4.1,2.55,1.5,0.0,0.12987468671679198,27.0
32,34.0,1.0,1.0,1.0,1.0,1.0,0.8217625409543471,4.0,2.5,1.5,0.0,0.12710526315789472,26.73572593800979
33,35.0,1.0,1.0,1.0,1.0,1.0,0.7121430850254673,6.4,3.7,2.45,0.0,0.10761487050960734,28.29363784665579
34,36.0,1.0,1.0,1.0,1.0,1.0,0.7512878714320687,4.2,2.6,1.55,0.0,0.0970175438596491,29.786296900489397
35,37.0,1.0,1.0,1.0,1.0,1.0,0.7497057318182375,3.4,2.2,1.15,0.0,0.1723684210526316,30.874388254486135
36,38.0,1.0,1.0,1.0,1.0,1.0,0.7101888905214049,4.4,2.7,1.65,0.0,0.09552631578947368,31.97063621533442
37,39.0,1.0,1.0,1.0,1.0,1.0,0.6762174366981072,3.2,2.1,1.1,0.0,0.15438596491228068,34.0
38,40.0,1.0,1.0,1.0,1.0,1.0,0.7509081524760794,3.5,2.25,1.25,0.0,0.10657894736842105,32.964110929853184
39,41.0,1.0,1.0,1.0,1.0,1.0,0.9090193786921333,4.6,2.8,1.7,0.0,0.06894736842105262,32.476345840130506
40,42.0,1.0,1.0,1.0,1.0,1.0,0.8311707597985741,4.0,2.5,1.45,0.0,0.10456140350877194,34.35399673735726
41,43.0,1.0,1.0,1.0,1.0,1.0,0.7930235636195705,3.3,2.15,1.15,0.0,0.12894736842105264,35.9836867862969
42,44.0,1.0,1.0,1.0,1.0,1.0,0.7921020530930524,3.8,2.4,1.4,0.0,0.13350877192982455,36.96247960848287
43,45.0,1.0,1.0,1.0,1.0,1.0,0.8477912498235062,4.7,2.85,1.75,0.0,0.07961152882205515,36.931484502446985
44,46.0,1.0,1.0,1.0,1.0,1.0,0.6415528556404647,4.6,2.8,1.7,-0.005263157894736842,0.07157894736842106,39.964110929853184
45,47.0,1.0,1.0,1.0,1.0,1.0,0.9239769640774165,3.5,2.25,1.25,0.0,0.09035087719298246,38.735725938009786
46,48.0,1.0,1.0,1.0,1.0,1.0,0.7447809175392743,4.0,2.5,1.45,0.0,0.10192982456140351,41.51876019575857
47,49.0,1.0,1.0,1.0,1.0,1.0,0.7682811514957515,3.7,2.35,1.3,0.0,0.10350877192982455,41.18760195758564
48,50.0,1.0,1.0,1.0,1.0,1.0,0.787617188069601,3.6,2.3,1.3,0.005263157894736842,0.0850877192982456,41.95269168026101
49,51.0,1.0,1.0,1.0,1.0,1.0,0.8000006460276949,4.3,2.65,1.65,0.0,0.07105263157894735,42.97389885807504
50,52.0,1.0,1.0,1.0,1.0,1.0,0.9515850832517749,4.6,2.8,1.7,0.0,0.06359649122807016,42.216965742251226
51,53.0,1.0,1.0,1.0,1.0,1.0,0.7493868665980352,4.1,2.55,1.5,0.0,0.08912280701754387,45.96574225122349
52,54.0,1.0,1.0,1.0,1.0,1.0,0.7453259548479331,3.9,2.45,1.45,0.0,0.09973684210526315,46.96247960848287
53,55.0,1.0,1.0,1.0,1.0,1.0,0.8364406789503959,3.9,2.45,1.4,0.0,0.08307017543859647,46.97063621533442
54,56.0,1.0,1.0,1.0,1.0,1.0,0.824448028204103,3.6,2.3,1.3,0.0,0.07894736842105263,47.97063621533442
55,57.0,1.0,1.0,1.0,1.0,1.0,0.9046468630387119,4.3,2.65,1.6,0.0,0.06219298245614035,48.727569331158236
56,58.0,1.0,1.0,1.0,1.0,1.0,0.794820608170237,3.5,2.25,1.2,0.0,0.10964912280701754,50.99021207177814
