,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,0.9735099337748344,0.9735099337748344,1.0,0.9865771812080537,1.0,0.02480648077291189,62.9,31.95,10.7,0.9904464170784166,1.0,0.9456953642384106
1,3.0,0.9973509933774835,0.9972862957937585,1.0,0.998641304347826,1.0,0.08110545411434415,29.9,15.45,7.35,0.9843376652127959,1.0,1.423841059602649
2,4.0,0.9986754966887417,1.0,0.9986357435197817,0.9993174061433447,1.0,0.07896349748032755,20.7,10.85,5.75,0.2241460668270261,0.7846491228070175,1.9456953642384105
3,5.0,0.9986754966887417,1.0,0.9986468200270636,0.9993229519295871,1.0,0.11323466836970258,24.5,12.75,5.85,0.41704399108371454,0.836578947368421,2.9642384105960264
4,6.0,0.9986754966887417,1.0,0.998639455782313,0.9993192648059904,1.0,0.0822868525296893,24.5,12.75,6.05,0.5530368169229218,0.7791228070175437,4.0847682119205295
5,2.0,0.976158940397351,0.976158940397351,1.0,0.9879356568364611,1.0,0.08233717001550127,44.4,22.7,9.05,0.9844575013226607,1.0,0.6066225165562914
6,3.0,0.990728476821192,0.995945945945946,0.9946018893387314,0.9952734638757597,1.0,0.0870326950446176,53.8,27.4,9.35,0.9862655528344739,1.0,1.1960264900662252
7,4.0,0.9774834437086093,0.9774834437086093,1.0,0.9886135298057602,1.0,0.08116088691721092,33.0,17.0,7.6,0.9464196598177083,1.0,2.888741721854305
8,5.0,0.990728476821192,0.9932614555256065,0.9972936400541272,0.9952734638757597,1.0,0.10960664238643557,36.1,18.55,7.9,0.9864249471832603,0.9600000000000001,3.3589403973509935
9,6.0,0.9986754966887417,0.998641304347826,1.0,0.9993201903467028,1.0,0.07336991471631167,25.7,13.35,6.35,0.42126298006853496,0.7799999999999999,4.711258278145696
10,2.0,0.9933774834437086,0.9932523616734144,1.0,0.996614759647935,1.0,0.10739810956383654,56.1,28.55,9.05,0.9794714421019978,1.0,0.36821192052980134
11,3.0,0.9854304635761589,0.9931506849315068,0.9917920656634747,0.9924709103353867,1.0,0.10926373258320436,59.8,30.4,9.5,0.9807585183146198,1.0,1.414569536423841
12,4.0,0.9721854304635762,0.9721854304635762,1.0,0.9858965748824715,1.0,0.09884250866004078,36.9,18.95,8.55,0.9856372894792966,0.975,2.357615894039735
13,5.0,0.9933774834437086,0.9959183673469387,0.997275204359673,0.9965963240299524,1.0,0.0773631818480153,36.1,18.55,7.75,0.9717945967239567,0.98,3.962913907284768
14,6.0,0.9973509933774835,0.9986486486486487,0.9986486486486487,0.9986486486486487,1.0,0.0834700352273473,24.5,12.75,6.05,0.8698515389265993,0.7139473684210526,4.0688741721854305
15,2.0,0.9841059602649007,0.9841059602649007,1.0,0.9919893190921228,1.0,0.052617475869890455,106.5,53.75,11.55,0.992113316173423,1.0,0.3350993377483444
16,3.0,0.990728476821192,0.9933065595716198,0.9973118279569892,0.9953051643192489,1.0,0.03760506295480217,74.3,37.65,10.45,0.8995214069461084,1.0,0.8927152317880794
17,4.0,0.9920529801324504,0.9973118279569892,0.9946380697050938,0.9959731543624161,1.0,0.11674852508032674,29.1,15.05,7.05,0.9917423547152803,0.9328947368421052,2.362913907284768
18,5.0,0.9947019867549669,0.9946091644204852,1.0,0.9972972972972972,1.0,0.07008832273462712,25.3,13.15,5.7,0.8854958814451376,0.8721052631578947,3.0410596026490064
19,6.0,0.9973509933774835,0.9972862957937585,1.0,0.998641304347826,1.0,0.036150893155718955,25.5,13.25,5.85,0.9844955692953639,0.832280701754386,4.247682119205298
20,2.0,0.9682119205298013,0.9682119205298013,1.0,0.9838492597577388,1.0,0.02984565992181832,50.2,25.6,9.35,0.9904573496217653,1.0,0.928476821192053
21,3.0,0.9880794701986755,0.9918588873812755,0.9959128065395095,0.9938817131203264,1.0,0.07049632162530689,63.4,32.2,9.45,0.9860411888820602,1.0,1.5867549668874172
22,4.0,0.9920529801324504,0.9959072305593452,0.9959072305593452,0.9959072305593452,1.0,0.07561346600284995,15.5,8.25,4.35,0.9961512001157057,0.7456140350877193,2.067549668874172
23,5.0,0.9947019867549669,0.998639455782313,0.9959294436906377,0.9972826086956522,1.0,0.08083096311303326,24.2,12.6,5.6,0.9808873162624755,0.7463157894736842,3.1072847682119207
24,6.0,0.9947019867549669,0.9959514170040485,0.9986468200270636,0.9972972972972972,1.0,0.09231443791996391,19.9,10.45,5.6,0.997008110582865,0.6735087719298246,4.260927152317881
