,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.13773323135513457,25.9,13.45,6.6,0.9830087256568166,1.0,1.013157894736842
1,3.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.1631342071824957,18.8,9.9,6.2,0.7692972712784539,0.9333333333333333,2.026315789473684
2,4.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.0,15.1,8.05,4.55,0.40363112135748946,0.7175438596491227,4.0
3,5.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.24513747544524173,12.5,6.75,4.3,0.9774331043283255,0.613859649122807,3.9473684210526314
4,6.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,13.1,7.05,4.8,0.2628363714471433,0.5050877192982456,6.0
5,7.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.2973895920145423,14.9,7.95,5.1,0.8514677768799461,0.5015538847117794,6.026315789473684
6,8.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,16.8,8.9,4.95,0.29689793893636435,0.47292606516290725,8.0
7,9.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.3422097483743952,14.3,7.65,4.35,0.5603202934386139,0.4342105263157895,6.802631578947368
8,10.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,11.3,6.15,3.75,0.08857058982362576,0.35138888888888886,10.0
9,11.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.0,11.9,6.45,4.15,0.24072586976436433,0.2838412318675476,11.0
10,12.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.0,10.2,5.6,3.65,0.8272499776483216,0.24497911445279866,12.0
11,13.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.0,9.3,5.15,3.5,0.9900885547885387,0.22288220551378446,13.0
12,14.0,0.9210526315789473,0.9210526315789473,1.0,0.958904109589041,1.0,0.20822028385423239,11.5,6.25,3.8,0.0027712894102826344,0.21188653451811348,12.947368421052632
13,15.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.0,9.8,5.4,3.75,0.980540269370241,0.20704887218045112,15.0
14,16.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.4827758392669623,11.6,6.3,4.2,0.4290485555204646,0.2211897167160325,15.026315789473685
15,17.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.16486425711874153,9.5,5.25,3.15,0.9517514124331033,0.19635547201336676,15.973684210526315
16,18.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,11.0,6.0,4.1,0.6703854841709328,0.19802460697197538,18.0
17,19.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,11.4,6.2,3.95,-0.0895135783409735,0.18994100928311453,19.0
18,20.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,10.2,5.6,3.7,0.08593731299357431,0.20910647831700463,20.0
19,21.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.0,12.3,6.65,4.3,0.8720847934233703,0.16862666573192886,21.0
20,22.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.0,12.5,6.75,4.05,0.2693104488662126,0.18656501393343497,22.0
21,23.0,0.9868421052631579,0.9866666666666667,1.0,0.9932885906040269,1.0,0.424082772440107,9.6,5.3,3.7,0.5752722941254796,0.1346667805878332,19.25
22,24.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.19546661636407323,10.1,5.55,3.45,0.9592661428409965,0.15624079137237032,23.026315789473685
23,25.0,0.9868421052631579,0.9864864864864865,1.0,0.9931972789115647,1.0,0.7598916067759456,7.7,4.35,2.9,0.5316439045566144,0.10526315789473684,20.13157894736842
24,26.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.0,9.5,5.25,3.35,0.7924491111610226,0.15083959899749372,26.0
25,27.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.4104643131608805,9.8,5.4,3.65,0.34435293676615564,0.11063719905825169,24.5
26,28.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.14450739082631864,9.6,5.3,3.55,-0.030413970812675207,0.10331035923141185,26.32894736842105
27,29.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.0,11.7,6.35,4.05,-0.01983708679669871,0.16447957013746486,29.0
28,30.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,1.0,0.475450404094592,8.8,4.9,3.35,0.9735050183580899,0.10004177109440267,25.210526315789473
29,2.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.04767106045650009,17.4,9.2,5.15,0.9847922041276884,0.95,1.0263157894736843
30,3.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.11296645655215555,16.0,8.5,4.75,0.9532382433041164,0.8192982456140352,2.039473684210526
31,4.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.14570773787020153,13.3,7.15,4.9,0.9512096822964249,0.7355263157894737,3.039473684210526
32,5.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.06476206238647379,12.7,6.85,4.45,0.8999941582807244,0.5730701754385965,4.105263157894737
33,6.0,0.9605263157894737,0.9594594594594594,1.0,0.9793103448275862,1.0,0.24459422588743127,12.3,6.65,4.35,0.9472226833768488,0.417280701754386,4.065789473684211
34,7.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.27279804583270956,11.5,6.25,4.4,0.9272630600071852,0.3988847117794486,6.0394736842105265
35,8.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,14.5,7.75,5.3,0.8587184737471487,0.3966979949874687,8.0
36,9.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.23270127933166893,9.3,5.15,3.55,0.9012548774408,0.30082706766917294,7.184210526315789
37,10.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,12.5,6.75,4.5,0.45119257773582266,0.36218880534670006,10.0
38,11.0,0.9078947368421053,0.9078947368421053,1.0,0.9517241379310345,1.0,0.6628722149201096,7.3,4.15,2.9,0.9767798078229865,0.20739139515455304,8.197368421052632
39,12.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.0,11.8,6.4,4.0,0.7653783618381418,0.25718045112781956,12.0
40,13.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.3328837852578753,12.3,6.65,4.25,0.4055548094437304,0.23784973798131687,11.052631578947368
41,14.0,0.9868421052631579,0.9868421052631579,1.0,0.9933774834437086,1.0,0.2776759054298084,13.0,7.0,4.6,-0.1373770689431211,0.2852770183033341,11.197368421052632
42,15.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.5760733790543606,11.3,6.15,4.15,0.6915590001376298,0.19678419533682692,12.105263157894736
43,16.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,12.4,6.7,4.05,0.4195537463547581,0.2345894310367995,16.0
44,17.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.102600067756744,12.3,6.65,3.7,0.25756096279943524,0.19448089921774134,16.0
45,18.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.0,9.4,5.2,3.5,0.9892305943325129,0.1620038733196628,18.0
46,19.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.0,13.0,7.0,4.45,0.17236330041210768,0.16611451414082992,19.0
47,20.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.24655917806749852,10.5,5.75,4.05,0.6866718181015488,0.2007146654515076,18.92105263157895
48,21.0,0.9736842105263158,0.9736842105263158,1.0,0.9866666666666666,1.0,0.0,11.1,6.05,3.9,0.604709118426502,0.13782885243411558,21.0
49,22.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.0,11.5,6.25,3.9,0.5677361178490615,0.15553884711779448,22.0
50,23.0,0.9342105263157895,0.9342105263157895,1.0,0.9659863945578232,1.0,0.5650836589333809,7.7,4.35,3.15,0.964197682061146,0.09469924812030074,17.842105263157894
51,24.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.6835385015917965,10.2,5.6,3.55,0.7116858751981121,0.10497360826308194,18.986842105263158
52,25.0,0.9473684210526315,0.9473684210526315,1.0,0.972972972972973,1.0,0.2209366483506868,8.3,4.65,3.3,0.9808662732623952,0.13966583124477863,23.18421052631579
53,26.0,0.9605263157894737,0.9605263157894737,1.0,0.9798657718120806,1.0,0.24292370330665292,10.9,5.95,3.95,0.8035743606380724,0.1529254955570745,25.026315789473685
