,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,0.8991825613079019,0.9219653179190751,0.9696048632218845,0.9451851851851851,1.0,0.2998256674929662,98.7,49.85,12.8,0.9775179383661512,1.0,1.2752043596730245
1,3.0,0.9209809264305178,0.9396551724137931,0.9761194029850746,0.9575402635431918,1.0,0.35208570394675925,135.2,68.1,14.2,0.9612976942290375,1.0,0.9536784741144414
2,4.0,0.9509536784741145,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.25747980655434943,72.1,36.55,11.75,0.9440372025743694,1.0,0.9373297002724795
3,5.0,0.9509536784741145,0.9730538922155688,0.9730538922155688,0.9730538922155688,1.0,0.3433734925943178,86.4,43.7,13.55,0.9517187649490533,1.0,0.9727520435967303
4,6.0,0.9700272479564033,0.9735294117647059,0.993993993993994,0.9836552748885588,1.0,0.2735272429529066,73.6,37.3,13.25,0.9510322982465961,1.0,0.9591280653950953
5,7.0,0.9754768392370572,0.9849397590361446,0.9879154078549849,0.9864253393665159,1.0,0.22111988035461871,73.3,37.15,12.6,0.8764577285432115,1.0,0.9536784741144414
6,8.0,0.9863760217983651,0.9880239520958084,0.9969788519637462,0.9924812030075189,1.0,0.2721289614457802,84.9,42.95,13.0,0.8702503880388264,0.9401315789473684,0.9645776566757494
7,9.0,0.9809264305177112,0.9823008849557522,0.9970059880239521,0.9895988112927191,1.0,0.36794794090261373,59.5,30.25,11.6,0.914252359067062,0.9304093567251461,0.9782016348773842
8,10.0,0.989100817438692,1.0,0.9880597014925373,0.993993993993994,1.0,0.35340214645959095,59.7,30.35,11.4,0.8986634594034432,0.8991666666666667,0.9754768392370572
9,11.0,0.9836512261580381,0.9823008849557522,1.0,0.9910714285714286,1.0,0.29804975572751785,60.6,30.8,9.95,0.8862096421024062,0.8964593301435406,0.9918256130790191
10,12.0,0.9727520435967303,0.9825072886297376,0.9882697947214076,0.9853801169590644,1.0,0.3053088489919144,51.9,26.45,9.45,0.9321797614963248,0.7666161616161616,1.438692098092643
11,13.0,0.9945504087193461,0.993993993993994,1.0,0.996987951807229,1.0,0.49725958369756385,57.5,29.25,10.35,0.8180919304777137,0.858606305974727,0.9782016348773842
12,14.0,0.9809264305177112,0.9877675840978594,0.99079754601227,0.9892802450229708,1.0,0.24379595844483043,49.5,25.25,9.75,0.8761352867725615,0.7267364214732636,0.9809264305177112
13,15.0,0.9863760217983651,0.993993993993994,0.9910179640718563,0.992503748125937,1.0,0.24008431702044286,55.3,28.15,10.4,0.8241821420968349,0.7212391117654277,0.9809264305177112
14,16.0,0.9918256130790191,0.9940298507462687,0.9970059880239521,0.9955156950672646,1.0,0.30095102017527714,42.1,21.55,9.1,0.8248290510512258,0.6577146245567298,1.2452316076294279
15,17.0,0.989100817438692,0.9938650306748467,0.9938650306748467,0.9938650306748467,1.0,0.6324295700859984,44.9,22.95,9.15,0.6784653589782019,0.61557815636376,0.9645776566757494
16,18.0,0.9754768392370572,0.9848024316109423,0.9878048780487805,0.9863013698630138,1.0,0.2520252554424538,44.7,22.85,9.15,0.8912657206896316,0.6305759591285908,0.9863760217983651
17,19.0,0.9863760217983651,0.9847094801223242,1.0,0.9922958397534669,1.0,0.5588249998432429,44.3,22.65,8.85,0.8823541705182253,0.5582410863085461,0.9782016348773842
18,20.0,0.9809264305177112,0.9854227405247813,0.9941176470588236,0.9897510980966324,1.0,0.25620881265533907,45.5,23.25,9.3,0.8313849767969789,0.5920141327359838,0.989100817438692
19,21.0,0.9754768392370572,0.9876543209876543,0.9846153846153847,0.9861325115562404,1.0,0.2455411085459847,40.8,20.9,9.15,0.9070571120820128,0.5499929002071744,0.9645776566757494
20,2.0,0.9318801089918256,0.9446064139941691,0.9818181818181818,0.9628528974739969,1.0,0.2534559345815618,153.9,77.45,13.8,0.9497882500450655,1.0,0.9427792915531336
21,3.0,0.9482288828337875,0.9505813953488372,0.993920972644377,0.9717682020802378,1.0,0.2739184188177627,125.5,63.25,11.85,0.9283989081177505,1.0,1.013623978201635
22,4.0,0.9482288828337875,0.963963963963964,0.9786585365853658,0.9712556732223904,1.0,0.2877460166716495,103.2,52.1,11.0,0.8841472447988148,1.0,0.9346049046321526
23,5.0,0.9618528610354223,0.972809667673716,0.9847094801223242,0.9787234042553191,1.0,0.2441349370550806,104.9,52.95,12.5,0.8644072783883386,1.0,0.9509536784741145
24,6.0,0.9427792915531336,0.9532163742690059,0.9848942598187311,0.9687964338781575,1.0,0.21675373796193098,114.5,57.75,12.2,0.9206547725225452,1.0,1.0517711171662125
