,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,0.9956933677863911,0.9974003466204506,0.9982653946227233,0.9978326831382748,1.0,0.42396996117932845,51.1,26.05,9.65,0.9978207008336073,1.0,0.9991386735572783
1,3.0,0.9939707149009475,0.994768962510898,0.999124343257443,0.9969418960244648,1.0,0.4570909787708029,42.4,21.7,9.75,0.9969616995515239,1.0,0.9965546942291128
2,4.0,0.9965546942291128,0.999128160418483,0.9973890339425587,0.9982578397212543,1.0,0.4776663078944946,34.5,17.75,8.7,0.8676164217501037,0.9328947368421052,0.9974160206718347
3,5.0,0.9888027562446167,0.9888027562446167,1.0,0.9943698570809875,1.0,0.44862776234994406,22.8,11.9,6.8,0.9964093207616908,0.8842105263157894,0.9819121447028424
4,6.0,0.9862187769164513,0.9862187769164513,1.0,0.9930615784908934,1.0,0.47843225368069564,29.3,15.15,7.4,0.9922619528759953,0.8428947368421051,0.9939707149009475
5,7.0,0.9948320413436692,0.9947871416159861,1.0,0.9973867595818815,1.0,0.4694867456832914,17.8,9.4,5.75,0.9908314368732763,0.5420426065162908,0.9982773471145564
6,8.0,0.9991386735572783,1.0,0.9991319444444444,0.9995657837603126,1.0,0.4130010500566647,17.7,9.35,5.45,0.43783182485761374,0.532938596491228,0.9991386735572783
7,9.0,0.9982773471145564,0.9982593559617058,1.0,0.9991289198606271,1.0,0.44080486071231867,21.6,11.3,6.65,0.5099478122864525,0.5688805346700084,1.0017226528854435
8,10.0,0.9991386735572783,0.9991273996509599,1.0,0.9995635093845482,1.0,0.44926744928084844,18.8,9.9,6.1,0.4828138155871115,0.44866123642439437,1.0180878552971577
9,11.0,0.9948320413436692,0.9973821989528796,0.9973821989528796,0.9973821989528796,1.0,0.4384048534682188,16.8,8.9,5.5,0.9956344491627441,0.43645211513632565,1.1093884582256675
10,12.0,0.9982773471145564,0.9982668977469671,1.0,0.9991326973113617,1.0,0.0,19.8,10.4,5.6,0.9949050847025558,0.43689450899977217,0.0
