,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,0.9618055555555556,0.9885321100917431,0.9699924981245311,0.9791745550927679,1.0,0.050238501675036684,154.2,77.6,17.05,0.9862703690315413,1.0,1.0
1,3.0,0.9743055555555555,0.991672975018925,0.9805389221556886,0.9860745201354912,1.0,0.050415158213047,183.6,92.3,16.45,0.9643317004007892,1.0,1.0979166666666667
2,4.0,0.9777777777777777,0.9932685115931189,0.9829755736491488,0.9880952380952381,1.0,0.045307991851083744,123.2,62.1,14.3,0.9795774073384798,1.0,1.3916666666666666
3,5.0,0.9847222222222223,0.9977272727272727,0.9857784431137725,0.9917168674698795,1.0,0.04567254200489265,126.8,63.9,13.55,0.9664992775809785,1.0,1.3875
4,6.0,0.9819444444444444,0.9947129909365559,0.9857784431137725,0.9902255639097743,1.0,0.04352101664723922,131.8,66.4,13.3,0.9580806905045794,1.0,1.4743055555555555
5,2.0,0.9395833333333333,0.9395833333333333,1.0,0.9688506981740065,0.0,,718.4,359.7,22.0,0.9569752468367635,1.0,
6,3.0,0.9784722222222222,0.9901589704769115,0.9864253393665159,0.988288628636192,1.0,0.03437372303983492,190.9,95.95,17.95,0.9612600496691629,1.0,1.1236111111111111
7,4.0,0.9854166666666667,0.9946646341463414,0.9893858984078847,0.992018244013683,1.0,0.06966287717351159,106.0,53.5,13.6,0.9701063983205319,1.0,1.386111111111111
8,5.0,0.9805555555555555,0.9939577039274925,0.9850299401197605,0.9894736842105264,1.0,0.038042027164886,131.6,66.3,13.85,0.9686642916648461,1.0,1.3770833333333334
9,6.0,0.9861111111111112,0.9954648526077098,0.9894815927873779,0.9924642049736246,1.0,0.036232208913262696,133.5,67.25,13.3,0.9619807470201959,1.0,1.4159722222222222
10,2.0,0.9701388888888889,0.9832189168573608,0.983969465648855,0.9835940480732546,1.0,0.09508801112873681,134.3,67.65,14.9,0.9832245528352758,1.0,1.2819444444444446
11,3.0,0.9784722222222222,0.9946727549467276,0.9819684447783621,0.9882797731568997,1.0,0.03756439085794593,140.4,70.7,14.6,0.9675863114238654,1.0,1.3263888888888888
12,4.0,0.9819444444444444,0.988619119878604,0.9916286149162862,0.9901215805471124,1.0,0.04808347542102398,113.9,57.45,13.45,0.9688924728595626,1.0,1.4944444444444445
13,5.0,0.9861111111111112,0.9969650986342944,0.98796992481203,0.9924471299093656,1.0,0.05277171102498032,123.6,62.3,14.2,0.9684622760932274,1.0,1.4076388888888889
14,6.0,0.9854166666666667,0.9946889226100152,0.9894339622641509,0.9920544835414301,1.0,0.04516329909180781,153.0,77.0,13.95,0.9531118759139519,1.0,1.4020833333333333
15,2.0,0.9305555555555556,0.9305555555555556,1.0,0.9640287769784173,0.0,,865.2,433.1,20.85,0.9487205957707348,1.0,
16,3.0,0.9201388888888888,0.9307142857142857,0.9863739591218774,0.9577361264241089,1.0,0.1630312484069927,690.4,345.7,21.0,0.9205286256354378,1.0,1.023611111111111
17,4.0,0.9340277777777778,0.9455587392550143,0.9858103061986557,0.9652650822669104,1.0,0.06692230643397504,513.1,257.05,19.55,0.9014032897487667,1.0,1.0
18,5.0,0.9361111111111111,0.9418521177315147,0.9916855631141346,0.9661266568483063,1.0,0.05806433622374203,458.1,229.55,18.7,0.9073786943267623,1.0,1.0472222222222223
19,6.0,0.9805555555555555,0.9886963074604371,0.990188679245283,0.9894419306184012,1.0,0.06948005243931892,137.2,69.1,13.95,0.9538689371436614,1.0,1.507638888888889
20,2.0,0.9319444444444445,0.9319444444444445,1.0,0.9647735442127966,0.0,,791.7,396.35,21.15,0.9331528490376184,1.0,
21,3.0,0.9222222222222223,0.9222222222222223,1.0,0.9595375722543353,0.0,,682.9,341.95,21.85,0.9220200879230417,1.0,
22,4.0,0.925,0.9404163675520459,0.9812734082397003,0.9604105571847508,1.0,0.20081205741740474,599.1,300.05,21.7,0.9044207743399726,1.0,1.0770833333333334
23,5.0,0.9770833333333333,0.9962377727614747,0.9792899408284024,0.9876911600149199,1.0,0.05646517235133444,130.0,65.5,15.35,0.9785154972204042,1.0,1.1618055555555555
24,6.0,0.9847222222222223,0.9977220956719818,0.9857464366091523,0.9916981132075472,1.0,0.04517405014570916,119.2,60.1,13.75,0.9524070412912073,1.0,1.3111111111111111
