,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,mean_length
0,2.0,0.9745269286754003,0.9745269286754003,1.0,0.9870991522300038,0.0,,143.2,72.1,16.4,0.9888143456438621,1.0,
1,3.0,0.9774381368267832,0.9774381368267832,1.0,0.9885903570114097,0.0,,147.5,74.25,15.6,0.9813960022561479,1.0,
2,4.0,0.9847161572052402,0.985239852398524,0.999251497005988,0.992196209587514,1.0,0.8770750230336147,81.0,41.0,10.45,0.9823996414731734,1.0,1.9781659388646289
3,5.0,0.9919941775836972,0.9948339483394834,0.9970414201183432,0.9959364610269671,1.0,0.8689478693115927,79.6,40.3,10.25,0.9663639784212543,1.0,1.9264919941775838
4,6.0,0.99490538573508,0.9955357142857143,0.9992531740104555,0.9973909802459934,0.9992721979621543,0.9773020672098425,59.5,30.25,9.45,0.9697188092593655,1.0,2.3066278222869627
5,7.0,0.9970887918486172,0.9970414201183432,1.0,0.9985185185185186,0.9941775836972343,0.9244351418449688,61.8,31.4,9.05,0.9517068418719538,1.0,2.0827232796486093
6,8.0,0.9978165938864629,0.9977761304670126,1.0,0.998886827458256,0.9104803493449781,1.0114460114681876,58.4,29.7,9.75,0.7416138367340953,0.975,3.0639488409272584
7,9.0,0.9978165938864629,0.9977578475336323,1.0,0.9988776655443322,0.6491994177583698,0.9085653656283262,41.4,21.2,8.55,0.9613036540797856,0.8744152046783628,2.782511210762332
8,10.0,0.9985443959243085,0.9985096870342772,1.0,0.9992542878448918,0.9184861717612809,0.9301803733840714,45.7,23.35,8.8,0.811624041998746,0.8049999999999999,2.7123613312202854
9,11.0,0.9970887918486172,0.9970260223048327,1.0,0.9985107967237529,0.3944687045123726,0.8617125208406059,44.7,22.85,7.7,0.8470601923125906,0.7960552897395,2.7675276752767526
10,12.0,0.9978165938864629,0.9977744807121661,1.0,0.9988860007426661,0.33333333333333337,0.7614212812228042,41.8,21.4,7.7,0.6383153677851303,0.7349003189792663,1.9344978165938864
11,13.0,1.0,1.0,1.0,1.0,0.6579330422125182,0.8668922303306354,43.7,22.35,7.55,0.21738460359734582,0.7017887375782114,2.440265486725664
12,14.0,0.9992721979621543,0.9992565055762082,1.0,0.9996281145407214,0.5189228529839884,0.9092301125634701,44.5,22.75,7.9,0.6395211511397481,0.6899589007483743,2.855539971949509
13,15.0,0.9978165938864629,0.9977711738484398,1.0,0.9988843436221644,0.4250363901018923,0.9775320490584518,44.8,22.9,7.8,0.6013506272938094,0.6572398653977601,3.3664383561643834
14,16.0,0.9956331877729258,0.996274217585693,0.9992526158445441,0.9977611940298506,0.11426491994177579,0.7413640440166822,26.9,13.95,6.15,0.9698015915153331,0.4498692243429086,1.6624203821656052
15,2.0,0.9745269286754003,0.9745269286754003,1.0,0.9870991522300038,0.0,,174.9,87.95,18.45,0.9817059759476409,1.0,
16,3.0,0.9898107714701602,0.9903489235337788,0.9992509363295881,0.9947800149142432,1.0,0.693859582051998,104.4,52.7,14.4,0.9659021451511837,1.0,1.2940320232896652
17,4.0,0.9912663755458515,0.9955588452997779,0.9955588452997779,0.9955588452997779,1.0,0.5700932291661827,78.7,39.85,11.55,0.9858166973441557,1.0,1.232896652110626
18,5.0,0.9919941775836972,0.994060876020787,0.9977645305514158,0.9959092599479361,1.0,0.7508664115193263,75.8,38.4,11.75,0.9736917459585712,1.0,1.6091703056768558
19,6.0,0.9934497816593887,0.9940298507462687,0.9992498124531133,0.9966329966329968,1.0,0.8596496631389946,47.8,24.4,8.2,0.9752052062077565,0.9666666666666666,1.9155749636098982
20,7.0,0.9985443959243085,0.9985130111524163,1.0,0.9992559523809523,1.0,0.8778702585513378,50.6,25.8,8.85,0.742017096084371,0.9571428571428573,2.2576419213973797
21,8.0,0.9978165938864629,0.9977595220313666,1.0,0.9988785046728972,0.99490538573508,0.8477342932230434,54.9,27.95,9.35,0.890245092262343,0.9638157894736842,2.252377468910022
22,9.0,0.9970887918486172,0.9977678571428571,0.9992548435171386,0.9985107967237528,0.9810771470160117,0.9578249403356336,38.2,19.6,7.4,0.9010647097075342,0.7550334168755221,2.7040059347181007
23,10.0,0.9978165938864629,0.9977728285077951,1.0,0.9988851727982163,0.980349344978166,0.9266653360114014,34.7,17.85,6.65,0.9782356926615388,0.7214745196324145,2.578322197475872
24,11.0,0.9978165938864629,0.9977628635346756,1.0,0.9988801791713325,0.5844250363901019,0.9282416396731702,36.5,18.75,6.65,0.46420931251089637,0.7028934077618288,2.398505603985056
25,12.0,0.9978165938864629,0.9977611940298508,1.0,0.9988793425476279,0.35152838427947597,0.8742054657685376,33.2,17.1,7.2,0.8786929276711036,0.6306273258904836,2.5175983436853
26,13.0,0.9985443959243085,0.9985052316890882,1.0,0.9992520568436799,0.4759825327510917,0.9556398739207336,38.1,19.55,6.9,0.4540168259811975,0.6086987281724124,2.6162079510703364
27,14.0,0.9970887918486172,0.9970171513795675,1.0,0.9985063480209111,0.23944687045123725,0.8114521773769486,35.1,18.05,6.6,0.9001649363716441,0.6010443065706224,2.768996960486322
28,15.0,0.9963609898107715,0.9962825278810409,1.0,0.9981378026070763,0.09606986899563319,0.8556831346606805,34.9,17.95,6.75,0.8963559563259839,0.553782007466218,3.507575757575758
29,16.0,0.9978165938864629,0.9977695167286246,1.0,0.9988835132117603,0.39665211062590977,0.8501033588859893,29.2,15.1,6.05,0.9473873498991775,0.44198122783649096,2.3357798165137615
30,2.0,0.9818049490538574,0.9818049490538574,1.0,0.9908189496878443,0.0,,181.2,91.1,18.15,0.9680608242254378,1.0,
31,3.0,0.9767103347889374,0.9767103347889374,1.0,0.9882179675994109,0.0,,112.2,56.6,12.65,0.9819806935300323,1.0,
32,4.0,0.992721979621543,0.9933431952662722,0.9992559523809523,0.9962908011869437,1.0,0.6176063533774773,64.6,32.8,11.25,0.9797589555156982,1.0,1.0131004366812226
33,5.0,0.992721979621543,0.992603550295858,1.0,0.9962880475129918,1.0,0.6609695623849309,70.4,35.7,10.95,0.9707920706132157,1.0,1.1848617176128093
34,6.0,0.9941775836972343,0.9962935507783544,0.9977728285077951,0.997032640949555,1.0,0.6403121772230305,75.8,38.4,10.7,0.9507020944260984,0.9833333333333333,1.1208151382823872
35,7.0,0.99490538573508,0.9963045084996305,0.9985185185185185,0.9974102848686646,1.0,0.7063585147411805,73.6,37.3,10.6,0.9306811929898141,1.0,1.4163027656477438
36,8.0,0.9956331877729258,0.9955489614243324,1.0,0.9977695167286245,1.0,0.8244069189650233,79.2,40.1,11.85,0.9524076913209898,0.9875,1.8377001455604076
37,9.0,0.99490538573508,0.9977744807121661,0.9970348406226834,0.9974045235446792,1.0,0.7731487585614119,42.8,21.9,8.4,0.9344927470133302,0.860014619883041,1.9883551673944686
38,10.0,0.99490538573508,0.9955323901712584,0.9992526158445441,0.9973890339425587,0.8347889374090247,0.8033250737580324,39.6,20.3,7.2,0.9743072567697185,0.8009795321637428,1.836965998256321
39,11.0,0.9970887918486172,0.9977761304670126,0.9992576095025983,0.9985163204747775,0.7816593886462881,0.983351892225279,45.4,23.2,7.9,0.8756368281576041,0.7591866028708134,2.4338919925512106
40,12.0,1.0,1.0,1.0,1.0,0.4344978165938864,0.9598917596257772,38.3,19.65,7.1,0.42569385997905157,0.701244019138756,2.9547738693467336
41,13.0,0.9978165938864629,0.9977744807121661,1.0,0.9988860007426661,0.32387190684133915,0.9311572363687758,38.9,19.95,7.3,0.8432676160073643,0.6569559972191552,2.3123595505617978
42,14.0,0.9985443959243085,0.9985185185185185,1.0,0.9992587101556708,0.5262008733624455,0.8683328868232003,37.8,19.4,7.4,0.5248544619522619,0.5950826804774173,2.4702627939142463
43,15.0,0.9985443959243085,0.9992609016999261,0.9992609016999261,0.9992609016999261,0.5094614264919941,0.8876871383750343,34.8,17.9,6.4,0.2943388591593295,0.5380807350544192,2.5114285714285716
44,16.0,0.9992721979621543,0.9992548435171386,1.0,0.9996272828922848,0.23362445414847166,0.7744906833626701,35.2,18.1,6.65,0.06718173040578965,0.5398933303538567,2.5700934579439254
45,2.0,0.9919941775836972,0.9948339483394834,0.9970414201183432,0.9959364610269671,1.0,0.7201409097585229,98.7,49.85,12.1,0.980126990822877,1.0,1.6972343522561864
46,3.0,0.9883551673944687,0.9889217134416544,0.9992537313432835,0.994060876020787,1.0,0.46247363793940893,89.5,45.25,14.1,0.986593226283851,1.0,1.111353711790393
47,4.0,0.99490538573508,0.9963072378138847,0.9985196150999259,0.9974121996303141,1.0,0.5558486942163191,81.9,41.45,10.7,0.9763410802077087,1.0,1.1761280931586608
48,5.0,0.992721979621543,0.9933333333333333,0.9992548435171386,0.9962852897473997,1.0,0.6828775716225199,78.6,39.8,10.8,0.9769186443784179,1.0,1.7889374090247452
49,6.0,0.9883551673944687,0.992603550295858,0.9955489614243324,0.9940740740740741,0.9992721979621543,0.7340821256255995,88.8,44.9,11.6,0.9697689602048211,1.0,2.260742898761835
50,7.0,0.9912663755458515,0.9918518518518519,0.9992537313432835,0.995539033457249,0.9963609898107715,0.6979882771744825,73.1,37.05,10.55,0.9586976116974855,0.9729323308270676,1.8553688823959094
51,8.0,0.9934497816593887,0.9933283914010378,1.0,0.9966530308664932,0.992721979621543,0.893258344721575,71.6,36.3,11.1,0.9610149149674527,0.9875,2.4824046920821115
52,9.0,0.9890829694323144,0.9888971132494448,1.0,0.9944175660588016,0.9868995633187773,0.8621779328418318,57.7,29.35,9.7,0.9661156793732366,0.9057017543859648,2.812684365781711
53,10.0,0.9912663755458515,0.9918639053254438,0.9992548435171386,0.9955456570155902,0.9912663755458515,0.8875524263615785,64.7,32.85,10.3,0.961925101184021,0.8400584795321636,2.9229074889867843
54,11.0,0.9970887918486172,0.9977728285077951,0.9992565055762082,0.9985141158989599,0.4548762736535662,0.7949779897300084,46.4,23.7,8.15,0.8785731850140891,0.7953216374269008,2.4656
55,12.0,0.9963609898107715,0.996274217585693,1.0,0.9981336319522209,0.715429403202329,1.008726302461208,44.5,22.75,8.0,0.9670755471324259,0.7296810207336524,3.3662258392675484
56,13.0,0.9963609898107715,0.9963154016212233,1.0,0.9981543004798819,0.26419213973799127,0.8918968924947246,41.4,21.2,7.8,0.9487359435697292,0.7245552692921113,2.5950413223140494
57,14.0,0.9992721979621543,0.9992576095025983,1.0,0.9996286669142221,0.2409024745269287,0.8833367742317263,38.2,19.6,7.15,0.6575888371453823,0.6479786003470214,2.3564954682779455
58,15.0,0.99490538573508,0.9948032665181886,1.0,0.9973948641607742,0.1353711790393013,0.7807756848247267,36.3,18.65,6.75,0.9611515024368373,0.5277276232539391,2.1881720430107525
59,16.0,0.9992721979621543,0.999259807549963,1.0,0.9996297667530545,0.15720524017467252,0.8109005836106975,32.1,16.55,6.7,0.2769205937119774,0.5312333937991832,2.009259259259259
60,2.0,0.980349344978166,0.980349344978166,1.0,0.9900771775082691,0.0,,158.9,79.95,17.8,0.9887259755323425,1.0,
61,3.0,0.9716157205240175,0.9716157205240175,1.0,0.9856035437430786,0.0,,138.2,69.6,15.15,0.9799618427600134,1.0,
62,4.0,0.9898107714701602,0.9902621722846442,0.999244142101285,0.9947328818660647,1.0,0.8279864208172689,62.8,31.9,9.6,0.9794524588687151,1.0,2.042940320232897
63,5.0,0.9898107714701602,0.9896373056994818,1.0,0.9947916666666666,1.0,0.9317094246904469,55.3,28.15,8.55,0.9919012285195576,1.0,2.8478893740902476
64,6.0,0.9978165938864629,0.9985130111524163,0.9992559523809523,0.9988843436221643,1.0,0.9350446824281895,73.7,37.35,9.4,0.9351768425074556,0.9833333333333333,2.614264919941776
65,7.0,0.9941775836972343,0.994069681245367,1.0,0.9970260223048328,0.8114992721979621,0.9008936552772027,66.5,33.75,9.35,0.9804671641185999,0.9857142857142857,2.64304932735426
66,8.0,0.9905385735080058,0.9903917220990391,1.0,0.9951726698848867,0.7933042212518195,1.0075955914499273,66.9,33.95,9.55,0.9690855995897395,0.9513157894736842,3.430275229357798
67,9.0,0.9992721979621543,0.9992614475627769,1.0,0.9996305873660879,0.7241630276564774,1.0186499554322266,63.0,32.0,8.6,0.7370770737776905,0.9266812865497077,3.1105527638190953
68,10.0,0.99490538573508,0.9948263118994827,1.0,0.9974064468321601,0.48689956331877726,1.0064083451796069,52.9,26.95,7.5,0.973565448067816,0.8321929824561404,2.423019431988042
69,11.0,0.9956331877729258,0.9955686853766618,1.0,0.9977794226498891,0.6644832605531296,0.9534602152949538,47.8,24.4,7.15,0.9765035026171549,0.8150292397660819,3.208105147864184
70,12.0,0.9963609898107715,0.9963045084996305,1.0,0.9981488337652722,0.5880640465793304,0.9713511715856146,49.0,25.0,7.55,0.8654658588025981,0.8054226475279106,2.237623762376238
71,13.0,0.9985443959243085,0.9985163204747775,1.0,0.9992576095025985,0.4068413391557496,0.8720019322869311,48.7,24.85,8.15,0.8825225483861568,0.717695988222304,2.636851520572451
72,14.0,0.9956331877729258,0.995539033457249,1.0,0.9977645305514158,0.2889374090247453,0.98913293684714,38.2,19.6,7.1,0.9291640680934931,0.6443971525550473,2.8488664987405543
73,15.0,0.9963609898107715,0.9963072378138847,1.0,0.9981502034776174,0.1688500727802038,0.7777869280143329,46.2,23.6,7.65,0.9224107771942206,0.6510057486373275,2.543103448275862
74,16.0,0.9985443959243085,0.9985029940119761,1.0,0.9992509363295881,0.1841339155749636,0.7836772303003623,33.8,17.4,6.9,0.9592271826667054,0.4992990342990343,2.343873517786561
