dataset,n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,n_rects
glass,20,FACETIndex,20,20,9,0.6,0.46153846153846156,0.8571428571428571,0.6,11.2,6.1,3.0,0.6498511031659597,0.3645864661654135,1.0,0.340392192504441,4.55,0.004999637603759766,0.004000425338745117,-1,-1,-1,-1,-1,10
glass,20,FACETIndex,20,20,9,0.9,0.8823529411764706,1.0,0.9375,11.3,6.15,3.0,0.36939899084464534,0.3823809523809524,1.0,0.1320698565516064,3.0,0.011001348495483398,0.03200173377990723,-1,-1,-1,-1,-1,100
glass,20,FACETIndex,20,20,9,0.7,0.6428571428571429,0.9,0.75,12.1,6.55,3.0,0.650562370262252,0.3904511278195489,1.0,0.15000087919826158,4.2,0.039999961853027344,0.11800169944763184,-1,-1,-1,-1,-1,500
glass,20,FACETIndex,20,20,9,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692,12.1,6.55,3.0,0.624020749613602,0.3458709273182957,1.0,0.1306534754672029,3.0,0.07399821281433105,0.22999978065490723,-1,-1,-1,-1,-1,1000
glass,20,FACETIndex,20,20,9,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,12.6,6.8,3.0,0.37450282961945275,0.41765664160401006,1.0,0.14549749505389548,2.55,0.10899972915649414,0.303999662399292,-1,-1,-1,-1,-1,1500
glass,20,FACETIndex,20,20,9,0.7,0.625,1.0,0.7692307692307693,10.9,5.95,3.0,0.5411214146552961,0.3143107769423559,1.0,0.12055797920426872,4.1,0.14300012588500977,0.5659997463226318,-1,-1,-1,-1,-1,2000
glass,20,FACETIndex,20,20,9,0.9,0.9,0.9,0.9,12.0,6.5,3.0,0.15086216444141423,0.37691102756892225,1.0,0.16566063263527467,3.45,0.20999979972839355,0.5810000896453857,-1,-1,-1,-1,-1,3000
glass,20,FACETIndex,20,20,9,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,11.0,6.0,3.0,0.5534087684845402,0.4334461152882205,1.0,0.10582628615953386,2.3,0.27900052070617676,0.983715295791626,-1,-1,-1,-1,-1,4000
glass,20,FACETIndex,20,20,9,0.75,0.8461538461538461,0.7857142857142857,0.8148148148148148,11.1,6.05,3.0,0.48414613051367966,0.36775689223057645,1.0,0.10566641821493894,2.95,0.35582590103149414,1.278468132019043,-1,-1,-1,-1,-1,5000
glass,20,FACETIndex,20,20,9,0.8,0.7,0.875,0.7777777777777777,10.9,5.95,3.0,0.4746141522921092,0.31035714285714283,0.95,0.07018165393085717,2.263157894736842,0.5200035572052002,1.5167217254638672,-1,-1,-1,-1,-1,7500
glass,20,FACETIndex,20,20,9,0.7,0.6153846153846154,0.8888888888888888,0.7272727272727274,12.8,6.9,3.0,0.8104923081146996,0.42648287385129496,1.0,0.1207370093695207,2.3,0.7391791343688965,2.4389631748199463,-1,-1,-1,-1,-1,10000
glass,20,FACETIndex,20,20,9,0.95,0.9375,1.0,0.967741935483871,11.5,6.25,3.0,-0.001410635088330309,0.37661027568922306,1.0,0.07672794614400433,2.75,1.3830773830413818,6.041028261184692,-1,-1,-1,-1,-1,20000
