dataset,n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,n_rects
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.3518809351309319,4.6,0.0260012149810791,0.0009989738464355469,-1,-1,-1,-1,-1,2
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.2623920223566426,4.05,0.013739585876464844,0.0029993057250976562,-1,-1,-1,-1,-1,5
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.3148659293170526,4.2,0.009000062942504883,0.004000425338745117,-1,-1,-1,-1,-1,10
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.21489830776180482,3.7,0.008000373840332031,0.00599980354309082,-1,-1,-1,-1,-1,20
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.2277811431227983,3.8,0.008998870849609375,0.013106584548950195,-1,-1,-1,-1,-1,50
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.19083145610967234,3.6,0.012889385223388672,0.022110939025878906,-1,-1,-1,-1,-1,100
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.18914489375299026,3.05,0.020000219345092773,0.050000667572021484,-1,-1,-1,-1,-1,200
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.16801781344593053,3.35,0.027999162673950195,0.06599998474121094,-1,-1,-1,-1,-1,300
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.14204722022743915,2.75,0.03399944305419922,0.08780527114868164,-1,-1,-1,-1,-1,400
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.13217298268734667,2.7,0.04000091552734375,0.10701584815979004,-1,-1,-1,-1,-1,500
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.141337373676996,2.6,0.05800008773803711,0.3417057991027832,-1,-1,-1,-1,-1,750
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.14155749922217947,2.95,0.0751030445098877,0.21264100074768066,-1,-1,-1,-1,-1,1000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.14135106275372095,2.5,0.143463134765625,0.4199860095977783,-1,-1,-1,-1,-1,2000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.12170888473830392,2.75,0.21362996101379395,0.6265702247619629,-1,-1,-1,-1,-1,3000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.1296428389668148,2.65,0.27790331840515137,0.8324403762817383,-1,-1,-1,-1,-1,4000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.12201860432626299,3.05,0.3585989475250244,1.0431981086730957,-1,-1,-1,-1,-1,5000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.11198643477790995,2.25,0.701998233795166,2.096000909805298,-1,-1,-1,-1,-1,10000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.10976976787123441,2.2,1.378981351852417,4.250151634216309,-1,-1,-1,-1,-1,20000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.09975302703503955,2.35,3.4679455757141113,10.659744501113892,-1,-1,-1,-1,-1,50000
vertebral,20,FACETIndex,20,20,6,0.8,0.8888888888888888,0.7272727272727273,0.7999999999999999,12.6,6.8,3.0,0.4546460564371074,0.491140350877193,1.0,0.1029348754971557,2.3,6.9853620529174805,21.113967657089233,-1,-1,-1,-1,-1,100000
