dataset,n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,n_rects,cover_xtrain,cover_xtest
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.5721679557069809,15.3,0.036000967025756836,0.007998943328857422,-1,-1,-1,-1,-1,10,0.0,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.5524534523653488,15.15,0.06199979782104492,0.011002540588378906,-1,-1,-1,-1,-1,20,0.0,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.47840174807496505,14.2,0.0804145336151123,0.02200007438659668,-1,-1,-1,-1,-1,50,0.0,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.4771502200890313,13.5,0.13714599609375,0.0370028018951416,-1,-1,-1,-1,-1,100,0.0,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.44409401434069606,13.1,0.25312256813049316,0.07260870933532715,-1,-1,-1,-1,-1,200,0.0,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.4441108208945339,12.35,0.3620755672454834,0.10500001907348633,-1,-1,-1,-1,-1,300,0.0,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.42367728808016125,13.2,0.4823944568634033,0.14099979400634766,-1,-1,-1,-1,-1,400,0.0,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.4323904620791958,13.8,0.6038739681243896,0.17400145530700684,-1,-1,-1,-1,-1,500,0.07268722466960352,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.4325682729295869,12.9,0.8780562877655029,0.26362133026123047,-1,-1,-1,-1,-1,750,0.004405286343612335,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.4068315071123748,13.1,1.1840236186981201,0.3399679660797119,-1,-1,-1,-1,-1,1000,0.07268722466960352,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.4123190281201796,12.8,2.3280138969421387,0.6930296421051025,-1,-1,-1,-1,-1,2000,0.011013215859030838,0.05
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.3897850905126643,12.2,3.4473955631256104,1.0172338485717773,-1,-1,-1,-1,-1,3000,0.09030837004405286,0.05
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.3736441209478504,11.85,4.578031539916992,1.3509583473205566,-1,-1,-1,-1,-1,4000,0.08590308370044053,0.0
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.3632741779282489,10.75,5.734995603561401,1.6929993629455566,-1,-1,-1,-1,-1,5000,0.09691629955947137,0.05
cancer,100,FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,12.3,6.65,3.0,0.7594504779566777,0.15145659895659896,1.0,0.3546643997767501,11.65,11.626995325088501,3.400928020477295,-1,-1,-1,-1,-1,10000,0.11894273127753303,0.05
