,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,1.0,0.9738988580750407,0.9769357495881383,0.9966386554621849,0.9866888519134775,1.0,0.046568652959557616
1,2.0,0.9869494290375204,0.9916247906197655,0.9949579831932773,0.9932885906040269,1.0,0.024404537438257753
2,3.0,0.9967373572593801,0.9966499162479062,1.0,0.9983221476510068,1.0,0.1724129345760172
3,4.0,1.0,1.0,1.0,1.0,1.0,0.18571807320040246
4,5.0,0.99836867862969,0.9983221476510067,1.0,0.9991603694374475,1.0,0.1527245904252084
5,6.0,0.99836867862969,1.0,0.9983193277310924,0.9991589571068125,1.0,0.17410853506001495
6,7.0,0.99836867862969,0.9983221476510067,1.0,0.9991603694374475,1.0,0.25031708575172296
7,8.0,1.0,1.0,1.0,1.0,0.99836867862969,0.2831536124140649
8,9.0,1.0,1.0,1.0,1.0,1.0,0.2779596663718488
9,10.0,1.0,1.0,1.0,1.0,1.0,0.2790686359268588
10,11.0,1.0,1.0,1.0,1.0,0.0,
11,12.0,1.0,1.0,1.0,1.0,0.9706362153344209,0.40252794357058597
12,13.0,1.0,1.0,1.0,1.0,0.0032626427406199365,0.31569081998947524
13,14.0,1.0,1.0,1.0,1.0,0.0,
14,15.0,1.0,1.0,1.0,1.0,0.0,
15,16.0,1.0,1.0,1.0,1.0,0.0,
16,17.0,1.0,1.0,1.0,1.0,0.0,
17,18.0,1.0,1.0,1.0,1.0,0.0,
18,19.0,1.0,1.0,1.0,1.0,0.0,
19,20.0,1.0,1.0,1.0,1.0,0.0,
20,21.0,1.0,1.0,1.0,1.0,0.0,
21,22.0,1.0,1.0,1.0,1.0,0.0,
22,23.0,1.0,1.0,1.0,1.0,0.0,
23,24.0,1.0,1.0,1.0,1.0,0.0,
24,25.0,1.0,1.0,1.0,1.0,0.0,
25,26.0,1.0,1.0,1.0,1.0,0.0,
26,27.0,1.0,1.0,1.0,1.0,0.0,
27,28.0,1.0,1.0,1.0,1.0,0.0,
28,29.0,1.0,1.0,1.0,1.0,0.0,
29,30.0,1.0,1.0,1.0,1.0,0.0,
30,31.0,1.0,1.0,1.0,1.0,0.0,
31,32.0,1.0,1.0,1.0,1.0,0.0,
32,33.0,1.0,1.0,1.0,1.0,0.0,
33,34.0,1.0,1.0,1.0,1.0,0.0,
34,35.0,1.0,1.0,1.0,1.0,0.0,
35,36.0,1.0,1.0,1.0,1.0,0.0,
36,37.0,1.0,1.0,1.0,1.0,0.0,
37,38.0,1.0,1.0,1.0,1.0,0.0,
38,39.0,1.0,1.0,1.0,1.0,0.0,
39,40.0,1.0,1.0,1.0,1.0,0.0,
40,41.0,1.0,1.0,1.0,1.0,0.0,
41,42.0,1.0,1.0,1.0,1.0,0.0,
42,43.0,1.0,1.0,1.0,1.0,0.0,
43,44.0,1.0,1.0,1.0,1.0,0.0,
44,45.0,1.0,1.0,1.0,1.0,0.0,
45,46.0,1.0,1.0,1.0,1.0,0.0,
46,47.0,1.0,1.0,1.0,1.0,0.0,
47,48.0,1.0,1.0,1.0,1.0,0.0,
48,49.0,1.0,1.0,1.0,1.0,0.0,
49,50.0,1.0,1.0,1.0,1.0,0.0,
50,51.0,1.0,1.0,1.0,1.0,0.0,
51,52.0,1.0,1.0,1.0,1.0,0.0,
52,53.0,1.0,1.0,1.0,1.0,0.0,
53,54.0,1.0,1.0,1.0,1.0,0.0,
54,55.0,1.0,1.0,1.0,1.0,0.0,
55,56.0,1.0,1.0,1.0,1.0,0.0,
56,57.0,1.0,1.0,1.0,1.0,0.0,
57,58.0,1.0,1.0,1.0,1.0,0.0,
58,59.0,1.0,1.0,1.0,1.0,0.0,
59,60.0,1.0,1.0,1.0,1.0,0.0,
60,61.0,1.0,1.0,1.0,1.0,0.0,
61,62.0,1.0,1.0,1.0,1.0,0.0,
62,63.0,1.0,1.0,1.0,1.0,0.0,
63,64.0,1.0,1.0,1.0,1.0,0.0,
64,65.0,1.0,1.0,1.0,1.0,0.0,
65,66.0,1.0,1.0,1.0,1.0,0.0,
66,67.0,1.0,1.0,1.0,1.0,0.0,
67,68.0,1.0,1.0,1.0,1.0,0.0,
68,69.0,1.0,1.0,1.0,1.0,0.0,
69,70.0,1.0,1.0,1.0,1.0,0.0,
70,71.0,1.0,1.0,1.0,1.0,0.0,
71,72.0,1.0,1.0,1.0,1.0,0.0,
72,73.0,1.0,1.0,1.0,1.0,0.0,
73,74.0,1.0,1.0,1.0,1.0,0.0,
74,75.0,1.0,1.0,1.0,1.0,0.0,
75,76.0,1.0,1.0,1.0,1.0,0.0,
76,77.0,1.0,1.0,1.0,1.0,0.0,
77,78.0,1.0,1.0,1.0,1.0,0.0,
78,79.0,1.0,1.0,1.0,1.0,0.0,
