,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance,mean_length
0,1.0,0.9142359405011837,0.9142359405011837,1.0,0.9551967144257245,1.0,0.11680239882528068,0.9918256130790191
1,11.0,0.9847828352764253,0.9889199794159269,0.9946140907032412,0.9917588620456085,1.0,0.1227624278199101,1.7411444141689374
2,21.0,0.9921531841396048,0.9964003364171573,0.9947438244135082,0.99557139135623,1.0,0.0945052667669522,1.5803814713896458
3,31.0,0.9873587349801224,0.9916857070322417,0.9948269001193792,0.993253820054192,1.0,0.10020783007901217,1.5122615803814714
4,41.0,0.9904855496493501,0.9894503970546962,1.0,0.9946972274549182,1.0,0.12727606465227964,1.5013623978201636
5,51.0,0.975744851922991,0.9728884080885413,1.0,0.9862579192009515,1.0,0.1005680220314898,1.2724795640326976
6,61.0,0.9742558925566921,0.9865348920511902,0.9853316637666076,0.9859329108053795,1.0,0.11465817046515721,1.3297002724795641
7,71.0,0.98385968046932,0.9870267106696363,0.9953113985475172,0.9911517427148804,1.0,0.15782214944678705,1.5722070844686649
8,81.0,0.9760724229835768,0.9757139828089576,0.9980313646980313,0.986746501059785,1.0,0.13153476996811914,1.465940054495913
9,91.0,0.9860484507377794,0.9912624435143653,0.9931005679919813,0.9921806544216438,1.0,0.13708997332152967,1.6212534059945505
