,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance,mean_length
0,1.0,0.8694736842105263,0.8694736842105263,1.0,0.9301801801801802,1.0,0.04916237144493905,0.9210526315789473
1,11.0,0.916140350877193,0.916140350877193,1.0,0.9562351217725692,1.0,0.0,0.0
2,21.0,0.9231578947368421,0.9231578947368421,1.0,0.9600437876299944,1.0,0.15084317590825302,1.0921052631578947
3,31.0,0.9259649122807018,0.9259649122807018,1.0,0.9615594826015669,1.0,0.2713224522464619,2.710526315789474
4,41.0,0.9866666666666667,0.9996274217585693,0.9863970588235295,0.9929681717246485,1.0,0.2443004999886381,1.6973684210526316
5,51.0,0.9,0.9,1.0,0.9473684210526316,1.0,0.2347680947654773,2.25
6,61.0,0.956140350877193,0.956140350877193,1.0,0.9775784753363228,1.0,0.38590051023226135,2.6842105263157894
7,71.0,0.9652631578947368,0.9652631578947368,1.0,0.9823245848955544,1.0,0.13046665262379825,1.118421052631579
8,81.0,0.9,0.9,1.0,0.9473684210526316,1.0,0.6106218709262449,3.8421052631578947
9,91.0,0.9592982456140351,0.9592982456140351,1.0,0.9792263610315186,1.0,0.3421683008756339,2.960526315789474
