n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
5,FACETIndex,20,20,30,0.95,0.8333333333333334,1.0,0.9090909090909091,13.4,7.2,3.0,0.3,0.09691919191919193,1.0,0.2160598239417942,3.8,0.013998746871948242,0.08301067352294922,-1,-1,-1,-1,-1
10,FACETIndex,20,20,30,0.95,1.0,0.875,0.9333333333333333,12.4,6.7,3.0,0.6628879437651367,0.1382299182299182,1.0,0.2500660505043067,4.6,0.020000219345092773,0.0819997787475586,-1,-1,-1,-1,-1
15,FACETIndex,20,20,30,0.9,1.0,0.8,0.888888888888889,12.466666666666667,6.733333333333333,3.0,0.41814506941841406,0.12667147667147666,1.0,0.21878781740614847,5.8,0.025998830795288086,0.08600020408630371,-1,-1,-1,-1,-1
20,FACETIndex,20,20,30,0.9,0.8181818181818182,1.0,0.9,13.5,7.25,3.0,0.43811970116679255,0.1516581663950085,1.0,0.2964426776395136,8.05,0.03099966049194336,0.09409117698669434,-1,-1,-1,-1,-1
25,FACETIndex,20,20,30,0.95,1.0,0.8888888888888888,0.9411764705882353,12.68,6.84,3.0,0.18106481481481482,0.1493267565767566,1.0,0.36812791307428483,8.15,0.03600001335144043,0.10899996757507324,-1,-1,-1,-1,-1
30,FACETIndex,20,20,30,1.0,1.0,1.0,1.0,12.466666666666667,6.733333333333333,3.0,-0.13569786535303777,0.15350563229873573,1.0,0.32951609623233075,9.0,0.04099726676940918,0.08787107467651367,-1,-1,-1,-1,-1
35,FACETIndex,20,20,30,1.0,1.0,1.0,1.0,12.885714285714286,6.942857142857143,3.0,0.2,0.1617688054242676,1.0,0.46403772161868384,12.8,0.04600048065185547,0.08499979972839355,-1,-1,-1,-1,-1
40,FACETIndex,20,20,30,0.95,1.0,0.8571428571428571,0.923076923076923,13.3,7.15,3.0,0.12748284123284126,0.16485991572530032,1.0,0.3731401920535129,11.45,0.056998252868652344,0.10599827766418457,-1,-1,-1,-1,-1
45,FACETIndex,20,20,30,0.9,1.0,0.7777777777777778,0.8750000000000001,12.422222222222222,6.711111111111111,3.0,0.8954313668081784,0.14700588132406317,1.0,0.38035515133640413,11.3,0.06897592544555664,0.09630346298217773,-1,-1,-1,-1,-1
50,FACETIndex,20,20,30,0.95,0.8888888888888888,1.0,0.9411764705882353,12.84,6.92,3.0,0.3259340390087178,0.1507433496209006,1.0,0.5059119352034728,11.9,0.06399989128112793,0.09314179420471191,-1,-1,-1,-1,-1
55,FACETIndex,20,20,30,1.0,1.0,1.0,1.0,13.327272727272728,7.163636363636364,3.0,-0.0745393327211509,0.1594008591483339,1.0,0.4203298928007511,12.65,0.0690004825592041,0.08799958229064941,-1,-1,-1,-1,-1
60,FACETIndex,20,20,30,0.9,0.7777777777777778,1.0,0.8750000000000001,13.366666666666667,7.183333333333334,3.0,0.21920866425808413,0.15939392214815942,1.0,0.33779211099575335,11.3,0.07400846481323242,0.09999966621398926,-1,-1,-1,-1,-1
65,FACETIndex,20,20,30,0.9,1.0,0.75,0.8571428571428571,13.646153846153846,7.323076923076923,3.0,0.946695759606154,0.1467179201674394,1.0,0.4474405963642202,13.25,0.08000802993774414,0.09100174903869629,-1,-1,-1,-1,-1
70,FACETIndex,20,20,30,0.95,0.8888888888888888,1.0,0.9411764705882353,13.6,7.3,3.0,0.26177565124933544,0.16648651095856062,1.0,0.43889635991771725,14.65,0.08361220359802246,0.09021329879760742,-1,-1,-1,-1,-1
75,FACETIndex,20,20,30,1.0,1.0,1.0,1.0,12.786666666666667,6.8933333333333335,3.0,-0.0809625175414649,0.16445289645289646,1.0,0.4664825352233729,13.0,0.08701515197753906,0.09000015258789062,-1,-1,-1,-1,-1
80,FACETIndex,20,20,30,1.0,1.0,1.0,1.0,12.625,6.8125,3.0,-0.08382778796431793,0.14412464996325758,1.0,0.3364812345384457,12.75,0.09300017356872559,0.0840005874633789,-1,-1,-1,-1,-1
85,FACETIndex,20,20,30,1.0,1.0,1.0,1.0,12.552941176470588,6.776470588235294,3.0,0.019824617898277788,0.16641647023999964,1.0,0.3018823302272869,11.65,0.09837675094604492,0.09041523933410645,-1,-1,-1,-1,-1
90,FACETIndex,20,20,30,0.85,0.8,0.8888888888888888,0.8421052631578948,12.88888888888889,6.944444444444445,3.0,0.43573478882935596,0.15327625003654965,1.0,0.3970433513048357,12.65,0.10421156883239746,0.09499979019165039,-1,-1,-1,-1,-1
95,FACETIndex,20,20,30,0.95,0.9,1.0,0.9473684210526316,13.126315789473685,7.063157894736842,3.0,0.37735473435361455,0.14611765676155372,1.0,0.48264105008505503,14.8,0.10999846458435059,0.10000133514404297,-1,-1,-1,-1,-1
100,FACETIndex,20,20,30,0.9,0.75,0.75,0.75,13.22,7.11,3.0,0.8285093167309104,0.1594069157554006,1.0,0.3806056081465301,15.05,0.11799979209899902,0.08200335502624512,-1,-1,-1,-1,-1
