n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
5,FACETIndex,20,20,9,0.55,0.75,0.2727272727272727,0.39999999999999997,13.0,7.0,3.0,0.585047619047619,0.5083333333333333,1.0,0.1689525187705013,1.75,0.007000923156738281,0.02700018882751465,-1,-1,-1,-1,-1
10,FACETIndex,20,20,9,0.65,0.45454545454545453,0.8333333333333334,0.5882352941176471,10.6,5.8,3.0,0.6100250149021313,0.34351851851851856,1.0,0.1207546802848111,2.7,0.00999903678894043,0.027002334594726562,-1,-1,-1,-1,-1
15,FACETIndex,20,20,9,0.75,0.7272727272727273,0.8,0.761904761904762,12.066666666666666,6.533333333333333,3.0,0.5374540118698924,0.39157218442932723,1.0,0.14917942751646057,2.9,0.012996912002563477,0.02800154685974121,-1,-1,-1,-1,-1
20,FACETIndex,20,20,9,0.6,0.5,0.875,0.6363636363636364,11.4,6.2,3.0,0.7603092997547468,0.3458333333333333,1.0,0.18749741905405126,3.5,0.012000799179077148,0.02400064468383789,-1,-1,-1,-1,-1
25,FACETIndex,20,20,9,0.9,1.0,0.875,0.9333333333333333,11.4,6.2,3.0,0.10217790926347234,0.3477142857142857,1.0,0.13889521673832256,3.55,0.01300048828125,0.026999235153198242,-1,-1,-1,-1,-1
30,FACETIndex,20,20,9,0.95,0.9230769230769231,1.0,0.9600000000000001,11.666666666666666,6.333333333333333,3.0,0.35846708844668257,0.3823973727422003,1.0,0.11737031126474003,3.95,0.01599884033203125,0.02600264549255371,-1,-1,-1,-1,-1
35,FACETIndex,20,20,9,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,12.257142857142858,6.628571428571429,3.0,0.4540099292390773,0.37014272375616913,1.0,0.18404078269067753,4.35,0.017999887466430664,0.0279998779296875,-1,-1,-1,-1,-1
40,FACETIndex,20,20,9,0.75,0.6363636363636364,0.875,0.7368421052631579,12.7,6.85,3.0,0.385616116967941,0.4110927960927961,1.0,0.21498125260553547,3.95,0.020000696182250977,0.027000904083251953,-1,-1,-1,-1,-1
45,FACETIndex,20,20,9,0.85,0.9230769230769231,0.8571428571428571,0.888888888888889,11.71111111111111,6.355555555555555,3.0,0.23715245316818415,0.3686544011544011,1.0,0.1463778772843698,4.25,0.023008346557617188,0.027000904083251953,-1,-1,-1,-1,-1
50,FACETIndex,20,20,9,0.75,0.7,0.7777777777777778,0.7368421052631577,12.08,6.54,3.0,0.5768362091308082,0.39261807580174923,1.0,0.26415620734434553,4.25,0.023999929428100586,0.029000282287597656,-1,-1,-1,-1,-1
55,FACETIndex,20,20,9,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091,12.090909090909092,6.545454545454546,3.0,0.29505261149046663,0.3934346106568329,1.0,0.20040382969179146,4.3,0.02900981903076172,0.028999805450439453,-1,-1,-1,-1,-1
60,FACETIndex,20,20,9,0.65,0.75,0.6923076923076923,0.7199999999999999,12.366666666666667,6.683333333333334,3.0,0.508923841162753,0.3984375840731773,1.0,0.19524333277035993,5.4,0.0279998779296875,0.028000354766845703,-1,-1,-1,-1,-1
65,FACETIndex,20,20,9,0.75,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.384615384615385,6.6923076923076925,3.0,0.510210603670342,0.3822437805250305,1.0,0.24329282383808937,4.45,0.029999971389770508,0.02800130844116211,-1,-1,-1,-1,-1
70,FACETIndex,20,20,9,0.85,0.7692307692307693,1.0,0.8695652173913044,11.742857142857142,6.371428571428571,3.0,0.3972791770624303,0.3725316310098919,1.0,0.27409688906967394,5.45,0.032000064849853516,0.0280001163482666,-1,-1,-1,-1,-1
75,FACETIndex,20,20,9,0.6,0.4666666666666667,1.0,0.6363636363636364,11.746666666666666,6.373333333333333,3.0,0.5453137327743456,0.40896567996567995,1.0,0.1608250131798386,5.5,0.034999847412109375,0.026000499725341797,-1,-1,-1,-1,-1
80,FACETIndex,20,20,9,0.7,0.45454545454545453,1.0,0.625,11.15,6.075,3.0,0.4640795830129886,0.3468027928470967,1.0,0.18055932165557004,4.5,0.03699994087219238,0.028999805450439453,-1,-1,-1,-1,-1
85,FACETIndex,20,20,9,0.55,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.176470588235293,6.588235294117647,3.0,0.5016869029311182,0.4029027166422125,1.0,0.12563612321286982,4.35,0.03800010681152344,0.03099989891052246,-1,-1,-1,-1,-1
90,FACETIndex,20,20,9,0.85,0.8,0.8888888888888888,0.8421052631578948,11.444444444444445,6.222222222222222,3.0,0.6197379169076596,0.3779834730396528,1.0,0.22420033117057264,5.35,0.04200124740600586,0.0299990177154541,-1,-1,-1,-1,-1
95,FACETIndex,20,20,9,0.8,0.7142857142857143,1.0,0.8333333333333333,12.663157894736843,6.831578947368421,3.0,0.37788275449199243,0.44281892674949785,1.0,0.2537745047571719,5.35,0.04400014877319336,0.027122974395751953,-1,-1,-1,-1,-1
100,FACETIndex,20,20,9,0.7,0.5833333333333334,0.875,0.7000000000000001,11.56,6.28,3.0,0.5647420790541182,0.3901046176046176,1.0,0.3283751779722871,4.4,0.045001983642578125,0.02899789810180664,-1,-1,-1,-1,-1
