n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
5,FACETIndex,20,20,10,0.65,0.625,0.9090909090909091,0.7407407407407406,15.0,8.0,3.0,0.8776688778805172,0.4828571428571428,1.0,0.10647743486649472,1.95,0.39600491523742676,1.8058364391326904,-1,-1,-1,-1,-1
10,FACETIndex,20,20,10,0.65,0.7333333333333333,0.7857142857142857,0.7586206896551724,15.0,8.0,3.0,0.780056655889455,0.4292768959435625,1.0,0.07873122317832401,2.05,0.5660085678100586,1.9800140857696533,-1,-1,-1,-1,-1
15,FACETIndex,20,20,10,0.75,0.7058823529411765,1.0,0.8275862068965517,14.866666666666667,7.933333333333334,3.0,0.8213051165892364,0.4614021164021164,1.0,0.11403734034228812,2.5,0.7000083923339844,1.6118204593658447,-1,-1,-1,-1,-1
20,FACETIndex,20,20,10,0.8,0.8,1.0,0.888888888888889,15.0,8.0,3.0,0.8842274653992924,0.49581244778613204,1.0,0.10942232328264785,2.45,0.8491380214691162,1.2109911441802979,-1,-1,-1,-1,-1
25,FACETIndex,20,20,10,0.9,0.8947368421052632,1.0,0.9444444444444444,15.0,8.0,3.0,0.5263935872778516,0.5029669312169313,1.0,0.09709353168241583,2.8,0.9689936637878418,1.4065430164337158,-1,-1,-1,-1,-1
30,FACETIndex,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,15.0,8.0,3.0,0.1875709245611836,0.460997080824667,1.0,0.12510504235382847,2.8,1.142941951751709,2.6720242500305176,-1,-1,-1,-1,-1
35,FACETIndex,20,20,10,0.8,0.7894736842105263,1.0,0.8823529411764706,14.942857142857143,7.9714285714285715,3.0,0.9024776579749139,0.47179871948779506,1.0,0.1644214159083576,3.55,1.2559993267059326,1.274998664855957,-1,-1,-1,-1,-1
40,FACETIndex,20,20,10,0.8,0.6923076923076923,1.0,0.8181818181818181,14.95,7.975,3.0,0.6249169160106849,0.4698117623117623,1.0,0.12055407475520674,3.25,1.4230444431304932,2.4481608867645264,-1,-1,-1,-1,-1
45,FACETIndex,20,20,10,0.85,0.8235294117647058,1.0,0.9032258064516129,15.0,8.0,3.0,0.8155512457704597,0.48042608625941957,1.0,0.11032523061331607,2.85,1.553999423980713,1.7174711227416992,-1,-1,-1,-1,-1
50,FACETIndex,20,20,10,0.8,0.7647058823529411,1.0,0.8666666666666666,14.96,7.98,3.0,0.5602291945289761,0.4867259475218658,1.0,0.11369739789368409,3.15,1.716324806213379,1.7156338691711426,-1,-1,-1,-1,-1
55,FACETIndex,20,20,10,0.7,0.7142857142857143,0.8333333333333334,0.7692307692307692,14.963636363636363,7.9818181818181815,3.0,0.6177747963188545,0.4840839613061835,1.0,0.13673259333448812,3.55,1.8320775032043457,2.325920581817627,-1,-1,-1,-1,-1
60,FACETIndex,20,20,10,0.8,0.75,1.0,0.8571428571428571,14.933333333333334,7.966666666666667,3.0,0.16745498126160824,0.5064330553313604,1.0,0.1108032314530832,3.05,2.012316942214966,1.9898531436920166,-1,-1,-1,-1,-1
65,FACETIndex,20,20,10,0.85,0.8125,1.0,0.896551724137931,15.0,8.0,3.0,0.7030345009064706,0.5102291285103785,1.0,0.12658997625691548,3.8,2.1356043815612793,1.9193933010101318,-1,-1,-1,-1,-1
70,FACETIndex,20,20,10,0.95,0.9473684210526315,1.0,0.972972972972973,14.971428571428572,7.985714285714286,3.0,0.9497506270146014,0.46632800946465547,1.0,0.1840275244392472,4.3,2.285933017730713,1.2208614349365234,-1,-1,-1,-1,-1
75,FACETIndex,20,20,10,0.9,0.8571428571428571,1.0,0.923076923076923,14.946666666666667,7.973333333333334,3.0,0.4666440537714951,0.49008651508651496,1.0,0.18359502861740454,4.3,2.402088165283203,2.321009635925293,-1,-1,-1,-1,-1
80,FACETIndex,20,20,10,0.8,0.7647058823529411,1.0,0.8666666666666666,15.0,8.0,3.0,0.6955711726072327,0.45263248442837045,1.0,0.16639864542950078,3.9,2.5750155448913574,1.7620222568511963,-1,-1,-1,-1,-1
85,FACETIndex,20,20,10,0.7,0.6666666666666666,1.0,0.8,14.976470588235294,7.988235294117647,3.0,0.6928036185574384,0.4676679560713174,1.0,0.10659965874971564,3.7,2.690687894821167,1.6199805736541748,-1,-1,-1,-1,-1
90,FACETIndex,20,20,10,0.9,0.8823529411764706,1.0,0.9375,14.977777777777778,7.988888888888889,3.0,0.5681920763770631,0.4757140875492935,1.0,0.12953898124282165,4.4,2.865147113800049,1.6080029010772705,-1,-1,-1,-1,-1
95,FACETIndex,20,20,10,0.8,0.7777777777777778,1.0,0.8750000000000001,14.936842105263159,7.968421052631579,3.0,0.5088430606635884,0.46978545654917425,1.0,0.14113436319590428,4.0,3.010496139526367,1.515289068222046,-1,-1,-1,-1,-1
100,FACETIndex,20,20,10,0.85,0.8421052631578947,1.0,0.9142857142857143,14.98,7.99,3.0,0.926242286606443,0.47260990860990865,1.0,0.15219777928597497,5.15,3.179006814956665,1.3459906578063965,-1,-1,-1,-1,-1
