n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
5,FACETIndex,20,20,57,1.0,1.0,1.0,1.0,15.0,8.0,3.0,-0.35581751581751586,0.2827272727272727,1.0,0.008797802839364358,2.0,0.10100865364074707,0.6810729503631592,-1,-1,-1,-1,-1
10,FACETIndex,20,20,57,0.95,1.0,0.8333333333333334,0.9090909090909091,14.6,7.8,3.0,0.6319753086419754,0.14151774151774152,1.0,0.019247154148964392,3.65,0.14400219917297363,0.5777168273925781,-1,-1,-1,-1,-1
15,FACETIndex,20,20,57,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,13.933333333333334,7.466666666666667,3.0,0.3975420875420876,0.16234736163307592,1.0,0.02491621515858386,4.45,0.17999720573425293,0.6481993198394775,-1,-1,-1,-1,-1
20,FACETIndex,20,20,57,0.85,0.8,0.6666666666666666,0.7272727272727272,14.5,7.75,3.0,0.22221125466664754,0.13608340489919438,1.0,0.01928662485222289,4.2,0.21899962425231934,0.6010177135467529,-1,-1,-1,-1,-1
25,FACETIndex,20,20,57,0.95,1.0,0.8333333333333334,0.9090909090909091,14.76,7.88,3.0,0.4867896266015915,0.15362406112406113,1.0,0.06308456016440094,5.95,0.2490079402923584,0.6200168132781982,-1,-1,-1,-1,-1
30,FACETIndex,20,20,57,0.8,0.6,0.6,0.6,14.8,7.9,3.0,0.7192702474777697,0.15614960390822458,1.0,0.03409501367835225,6.05,0.29302144050598145,0.6289336681365967,-1,-1,-1,-1,-1
35,FACETIndex,20,20,57,0.9,1.0,0.75,0.8571428571428571,14.82857142857143,7.914285714285715,3.0,0.5064763267990418,0.15103106044282516,1.0,0.04011627642237494,5.0,0.32399964332580566,0.6380174160003662,-1,-1,-1,-1,-1
40,FACETIndex,20,20,57,0.8,1.0,0.6,0.7499999999999999,14.6,7.8,3.0,0.5370360153966053,0.14758143210066288,1.0,0.04301043426018898,5.85,0.36700916290283203,0.6370165348052979,-1,-1,-1,-1,-1
45,FACETIndex,20,20,57,0.85,1.0,0.7,0.8235294117647058,14.555555555555555,7.777777777777778,3.0,0.6692890118271496,0.15264341438583862,1.0,0.051418929392544874,6.7,0.3999216556549072,0.6780261993408203,-1,-1,-1,-1,-1
50,FACETIndex,20,20,57,0.8,1.0,0.5555555555555556,0.7142857142857143,14.44,7.72,3.0,0.4968528804675448,0.1578543565278259,1.0,0.04248604919143001,6.95,0.44000816345214844,0.6009831428527832,-1,-1,-1,-1,-1
55,FACETIndex,20,20,57,0.8,1.0,0.6363636363636364,0.7777777777777778,14.563636363636364,7.781818181818182,3.0,0.6961459646630397,0.14417822917822917,1.0,0.06053939112756464,7.05,0.4740171432495117,0.6610414981842041,-1,-1,-1,-1,-1
60,FACETIndex,20,20,57,0.9,1.0,0.75,0.8571428571428571,14.6,7.8,3.0,0.1954226992232433,0.14956760910150738,1.0,0.04790095713705439,7.3,0.5169205665588379,0.6580016613006592,-1,-1,-1,-1,-1
65,FACETIndex,20,20,57,0.8,1.0,0.5,0.6666666666666666,14.446153846153846,7.723076923076923,3.0,0.7187756676609548,0.16642670363824208,1.0,0.07027104883064039,7.85,0.5659904479980469,0.586982011795044,-1,-1,-1,-1,-1
70,FACETIndex,20,20,57,0.9,1.0,0.7142857142857143,0.8333333333333333,14.8,7.9,3.0,0.3890413960533097,0.15528903923313864,1.0,0.057608003931022764,7.4,0.5919985771179199,0.6180005073547363,-1,-1,-1,-1,-1
75,FACETIndex,20,20,57,1.0,1.0,1.0,1.0,14.786666666666667,7.8933333333333335,3.0,-0.3744820587551013,0.1368979958979959,1.0,0.08209976725339525,8.7,0.6199996471405029,0.6420018672943115,-1,-1,-1,-1,-1
80,FACETIndex,20,20,57,0.85,1.0,0.625,0.7692307692307693,14.8,7.9,3.0,0.5970549320670038,0.1625576963472533,1.0,0.04645629520986383,6.95,0.668999433517456,0.6230075359344482,-1,-1,-1,-1,-1
85,FACETIndex,20,20,57,0.95,0.8888888888888888,1.0,0.9411764705882353,14.458823529411765,7.729411764705882,3.0,0.2109529529349891,0.15647142229075,1.0,0.1023244494003617,9.5,0.7020001411437988,0.7290356159210205,-1,-1,-1,-1,-1
90,FACETIndex,20,20,57,0.95,1.0,0.9,0.9473684210526316,14.688888888888888,7.844444444444444,3.0,0.48654515525536907,0.15586511144563578,1.0,0.07693578869277244,9.9,0.7400267124176025,0.7279131412506104,-1,-1,-1,-1,-1
95,FACETIndex,20,20,57,0.95,1.0,0.8333333333333334,0.9090909090909091,14.663157894736843,7.831578947368421,3.0,0.10331895793857115,0.17747847026682412,1.0,0.07400566428737189,6.6,0.7706818580627441,0.6256601810455322,-1,-1,-1,-1,-1
100,FACETIndex,20,20,57,0.95,1.0,0.8571428571428571,0.923076923076923,14.6,7.8,3.0,0.3136820660284106,0.15077821785397544,1.0,0.0767120427033255,7.75,0.8400149345397949,0.6509847640991211,-1,-1,-1,-1,-1
