n_trees,explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
5,FACETIndex,20,20,6,0.75,0.9,0.6923076923076923,0.7826086956521738,11.8,6.4,3.0,0.825822329784998,0.7133333333333334,1.0,0.046909307120676466,1.4,0.007998228073120117,0.05099964141845703,-1,-1,-1,-1,-1
10,FACETIndex,20,20,6,0.9,0.9285714285714286,0.9285714285714286,0.9285714285714286,13.2,7.1,3.0,0.4679536859891484,0.5622222222222223,1.0,0.10251901367110669,2.2,0.011998414993286133,0.04550457000732422,-1,-1,-1,-1,-1
15,FACETIndex,20,20,6,0.65,0.75,0.6923076923076923,0.7199999999999999,11.266666666666667,6.133333333333334,3.0,0.6211218073651076,0.5484126984126985,1.0,0.0686821980161231,2.15,0.014554262161254883,0.04999995231628418,-1,-1,-1,-1,-1
20,FACETIndex,20,20,6,1.0,1.0,1.0,1.0,12.9,6.95,3.0,-0.10568790525988274,0.5278947368421053,1.0,0.09737643928090649,2.25,0.018000125885009766,0.05099916458129883,-1,-1,-1,-1,-1
25,FACETIndex,20,20,6,0.85,0.9230769230769231,0.8571428571428571,0.888888888888889,11.8,6.4,3.0,0.5914931497626175,0.5404999999999999,1.0,0.09453010749645069,2.95,0.020941734313964844,0.04999971389770508,-1,-1,-1,-1,-1
30,FACETIndex,20,20,6,0.85,0.8571428571428571,0.9230769230769231,0.888888888888889,13.2,7.1,3.0,0.5464945331823824,0.5731417624521072,1.0,0.08435415527441457,2.0,0.024997234344482422,0.04599905014038086,-1,-1,-1,-1,-1
35,FACETIndex,20,20,6,0.75,0.8571428571428571,0.8,0.8275862068965518,12.82857142857143,6.914285714285715,3.0,0.565214851613838,0.5326330532212885,1.0,0.1247582603502777,2.75,0.0280001163482666,0.04999995231628418,-1,-1,-1,-1,-1
40,FACETIndex,20,20,6,0.8,1.0,0.75,0.8571428571428571,13.15,7.075,3.0,0.48789492653382105,0.5506196581196582,1.0,0.14915579668104,3.3,0.032000064849853516,0.04799962043762207,-1,-1,-1,-1,-1
45,FACETIndex,20,20,6,0.8,0.9230769230769231,0.8,0.8571428571428571,13.0,7.0,3.0,0.49490454669604733,0.5123232323232324,1.0,0.13225089453346908,3.3,0.036008358001708984,0.04500079154968262,-1,-1,-1,-1,-1
50,FACETIndex,20,20,6,0.85,0.875,0.7777777777777778,0.823529411764706,12.4,6.7,3.0,0.3707170410616306,0.5039183673469387,1.0,0.09076542695911446,2.9,0.03798532485961914,0.054000139236450195,-1,-1,-1,-1,-1
55,FACETIndex,20,20,6,0.8,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.745454545454546,6.872727272727273,3.0,0.652634137637259,0.5435690235690236,1.0,0.11125892345685448,3.5,0.04100346565246582,0.04399681091308594,-1,-1,-1,-1,-1
60,FACETIndex,20,20,6,0.95,1.0,0.9090909090909091,0.9523809523809523,12.633333333333333,6.816666666666666,3.0,0.097585061175656,0.5621468926553672,1.0,0.14384126623169008,3.15,0.04500317573547363,0.06854486465454102,-1,-1,-1,-1,-1
65,FACETIndex,20,20,6,0.95,1.0,0.9,0.9473684210526316,12.96923076923077,6.984615384615385,3.0,0.22563566984568628,0.5280689102564102,1.0,0.10729883280832095,3.3,0.04799962043762207,0.054001569747924805,-1,-1,-1,-1,-1
70,FACETIndex,20,20,6,0.75,0.7272727272727273,0.8,0.761904761904762,12.6,6.8,3.0,0.48041636098022644,0.5486818495514147,1.0,0.08393843554570786,3.35,0.050521135330200195,0.0560002326965332,-1,-1,-1,-1,-1
75,FACETIndex,20,20,6,0.85,0.875,0.9333333333333333,0.9032258064516129,12.653333333333334,6.826666666666667,3.0,0.3541358829012387,0.5504084084084083,1.0,0.16363348764243416,4.35,0.05451560020446777,0.04199934005737305,-1,-1,-1,-1,-1
80,FACETIndex,20,20,6,0.65,0.65,1.0,0.787878787878788,12.6,6.8,3.0,0.5194026357679544,0.5323206751054853,1.0,0.1443118066782722,4.45,0.057500362396240234,0.028000593185424805,-1,-1,-1,-1,-1
85,FACETIndex,20,20,6,0.65,1.0,0.5625,0.72,11.705882352941176,6.352941176470588,3.0,0.4360402424956427,0.527469654528478,1.0,0.12462631488823148,3.1,0.059999704360961914,0.06000018119812012,-1,-1,-1,-1,-1
90,FACETIndex,20,20,6,0.75,1.0,0.6875,0.8148148148148148,13.2,7.1,3.0,0.45338373221654155,0.5496421140241364,1.0,0.1846589523940652,4.05,0.06299972534179688,0.051009416580200195,-1,-1,-1,-1,-1
95,FACETIndex,20,20,6,0.85,0.9285714285714286,0.8666666666666667,0.896551724137931,13.105263157894736,7.052631578947368,3.0,0.2293834503393512,0.5298245614035089,1.0,0.15685766540088533,3.7,0.06699967384338379,0.04901576042175293,-1,-1,-1,-1,-1
100,FACETIndex,20,20,6,0.9,0.8333333333333334,1.0,0.9090909090909091,11.42,6.21,3.0,0.4516721912197027,0.4935858585858586,1.0,0.18232494858432416,4.25,0.07099795341491699,0.04900002479553223,-1,-1,-1,-1,-1
